No,B,V,mas,T
17162,10.762,10.135,8.77,5370
17163,9.477,8.711,22.06,4930
17164,8.138,7.204,3.98,4800
17165,8.067,7.998,5.19,9790
17166,8.779,8.215,10.48,5750
17167,8.987,8.444,9.89,6200
17168,9.156,8.699,4.96,6370
17169,9.571,8.538,4.50,4500
17170,9.454,8.418,7.30,4660
17171,9.833,9.217,9.43,4930
17172,9.020,8.581,8.27,7000
17173,9.831,9.142,9.81,4930
17174,7.997,6.910,9.02,4660
17175,10.352,9.828,8.78,5750
17176,8.657,8.024,7.76,5940
17177,6.823,6.513,14.98,7300
17178,6.486,4.877,6.84,3600
17179,8.685,8.239,6.86,6370
17180,9.607,8.913,13.50,5650
17181,10.484,9.944,7.61,5750
17182,9.239,8.578,9.05,5790
17183,8.390,8.265,5.71,9500
17184,9.541,9.064,8.15,5750
17185,9.227,8.873,6.57,7030
17186,7.548,7.168,7.76,7000
17187,9.112,8.543,14.27,6250
17188,8.704,8.236,4.76,6370
17189,9.137,8.190,7.96,5150
17190,11.883,10.548,24.76,3800
17191,8.399,7.354,3.96,4660
17192,10.118,9.616,7.13,5750
17193,9.052,8.380,11.36,4930
17194,8.133,8.031,4.67,9000
17195,8.586,8.536,4.19,9790
17196,9.215,8.482,14.42,5560
17197,9.454,9.043,3.84,7000
17198,9.715,9.248,48.70,6250
17199,8.274,8.074,6.40,8180
17200,8.052,7.592,15.19,6370
17201,9.031,8.420,7.82,5940
17202,9.048,8.661,6.21,6370
17203,10.432,9.710,12.96,4930
17204,9.293,8.045,4.48,4390
17205,9.824,9.418,8.18,7030
17206,8.078,7.802,8.25,7600
17207,8.218,7.584,8.26,5940
17208,9.855,9.175,14.22,5370
17209,8.494,8.086,11.06,7030
17210,10.319,9.727,5.38,5370
17211,8.960,7.757,4.09,4390
17212,8.857,8.387,6.21,6370
17213,8.666,8.151,13.97,6650
17214,6.657,6.714,6.71,10500
17215,9.026,8.661,7.65,6370
17216,8.093,7.803,7.25,7500
17217,8.730,8.255,10.77,6370
17218,9.685,8.607,5.90,4660
17219,9.524,9.055,6.78,6650
17220,8.409,7.869,13.19,6200
17221,10.598,10.024,8.93,5750
17222,9.010,8.394,15.50,5750
17223,10.204,9.392,22.29,5150
17224,9.741,9.270,6.28,6650
17225,9.690,7.984,3.50,3540
17226,5.502,4.677,6.53,5600
17227,9.501,8.836,11.34,5650
17228,6.380,6.475,2.07,15200
17229,10.019,9.371,5.67,5370
17230,6.037,6.039,9.06,9790
17231,9.406,8.465,7.17,4660
17232,7.110,7.113,7.07,9790
17233,9.215,8.704,5.82,6370
17234,7.008,6.602,19.21,6650
17235,9.296,8.892,6.86,6370
17236,9.064,8.659,6.57,7030
17237,6.921,6.739,10.53,8400
17238,7.612,7.552,6.82,9790
17239,6.855,5.538,6.53,4250
17240,9.281,8.625,17.81,5370
17241,8.545,8.074,5.19,7000
17242,7.646,7.193,18.96,6650
17243,7.594,6.690,5.23,4800
17244,8.947,8.340,14.86,4930
17245,5.302,4.276,3.88,5400
17246,7.935,7.846,4.34,9000
17247,6.254,6.316,6.88,11400
17248,7.006,7.110,2.60,15200
17249,8.545,7.544,3.49,4800
17250,9.088,8.583,11.11,5370
17251,9.192,8.652,15.28,5940
17252,8.430,8.048,9.89,7030
17253,8.998,8.588,6.76,7300
17254,9.652,9.170,9.19,6650
17255,9.760,9.048,8.19,5560
17256,10.329,9.694,11.77,5370
17257,6.896,6.867,5.96,9790
17258,8.536,6.959,3.21,3990
17259,9.184,8.763,4.73,7000
17260,9.663,8.986,5.92,5700
17261,8.218,7.793,9.93,6900
17262,9.842,9.428,5.30,7000
17263,10.048,9.371,10.42,5560
17264,8.366,7.727,17.03,5700
17265,9.767,9.260,7.38,5370
17266,10.640,9.961,8.92,5370
17267,7.182,7.109,5.19,9380
17268,8.855,8.387,12.35,6650
17269,8.807,8.013,11.93,5310
17270,10.315,9.722,7.28,5750
17271,10.515,9.923,5.80,5370
17272,10.098,9.425,9.32,4930
17273,6.790,6.814,7.71,9790
17274,9.057,7.989,5.34,4660
17275,9.515,9.104,5.13,7030
17276,8.807,8.258,13.35,5790
17277,10.208,9.713,9.31,5750
17278,9.057,8.378,24.12,5370
17279,9.062,8.552,7.86,6200
17280,9.197,8.805,6.76,7350
17281,10.791,9.902,18.71,4310
17282,8.576,8.125,9.27,6650
17283,9.725,9.161,6.55,5940
17284,8.147,7.666,12.64,6370
17285,8.534,8.093,11.81,6900
17286,6.671,6.710,7.26,10500
17287,9.352,8.906,8.03,6900
17288,7.883,7.506,14.97,7300
17289,9.807,9.369,5.96,7000
17290,10.135,9.451,7.19,4930
17291,7.458,7.221,6.48,7460
17292,9.145,8.555,11.31,5790
17293,9.430,8.788,8.86,4930
17294,7.131,6.247,29.04,4800
17295,6.807,6.802,6.00,9790
17296,6.861,6.800,8.31,9790
17297,7.169,7.164,7.19,9790
17298,8.666,8.187,6.00,6650
17299,7.890,7.428,12.93,6650
17300,8.171,8.156,3.97,9790
17301,9.840,9.145,65.30,4750
17302,7.506,7.353,8.26,8600
17303,7.980,7.414,9.01,6250
17304,8.706,8.267,6.82,6900
17305,9.725,9.076,6.82,4930
17306,7.440,6.785,42.63,5700
17307,4.618,4.742,7.15,19000
17308,7.964,7.685,4.23,8000
17309,9.045,8.560,13.38,5370
17310,8.093,7.685,7.46,6900
17311,7.856,6.859,4.51,4500
17312,8.850,8.303,12.36,5750
17313,8.357,7.981,10.14,7000
17314,5.638,5.624,5.65,9790
17315,8.027,7.303,30.94,5500
17316,8.958,8.366,13.43,5940
17317,10.527,10.178,70.58,7030
17318,7.693,6.789,7.17,4800
17319,8.102,7.673,6.86,6000
17320,8.357,7.926,9.35,6900
17321,9.751,9.243,7.80,6500
17322,8.001,7.478,12.89,6500
17323,9.982,9.411,11.81,6250
17324,7.678,7.743,4.46,10500
17325,8.470,7.488,4.65,4660
17326,10.286,9.666,9.47,5370
17327,10.001,9.579,5.71,7030
17328,8.192,7.804,11.56,7030
17329,7.618,6.541,6.71,4660
17330,7.164,7.160,3.48,9790
17331,8.649,8.218,10.31,6900
17332,7.910,7.662,10.11,8250
17333,9.357,8.800,12.56,6250
17334,5.123,5.068,15.92,8600
17335,9.190,8.994,4.57,7600
17336,9.366,8.605,16.34,5560
17337,8.597,7.708,46.52,4800
17338,9.310,8.675,15.35,5650
17339,6.762,6.692,5.94,9980
17340,5.511,5.177,28.19,6000
17341,8.758,8.001,39.54,4930
17342,8.664,8.093,13.64,6250
17343,7.686,7.018,22.90,5700
17344,5.755,5.787,8.50,9790
17345,5.741,5.750,3.39,19000
17346,8.708,8.156,16.57,5750
17347,10.940,10.335,7.36,5370
17348,8.833,8.592,5.90,7600
17349,9.751,9.012,10.40,5700
17350,4.664,4.789,6.67,15200
17351,7.673,7.177,6.34,6650
17352,10.303,9.713,5.48,5370
17353,9.914,9.251,8.68,5370
17354,8.895,8.309,17.45,5370
17355,6.473,6.262,15.10,8180
17356,11.482,10.588,16.25,4550
17357,8.850,8.496,5.94,7300
17358,6.467,6.237,9.40,8180
17359,9.251,8.307,34.74,4700
17360,9.166,8.605,6.25,6200
17361,8.034,8.005,5.65,9790
17362,10.428,9.845,6.32,5750
17363,6.772,6.260,30.92,6500
17364,7.205,6.684,10.81,6200
17365,9.607,9.057,11.02,6250
17366,9.685,9.022,13.93,5560
17367,9.029,8.550,10.47,6500
17368,9.928,8.809,4.11,4800
17369,7.572,7.093,19.42,6500
17370,8.423,7.771,13.67,5940
17371,8.625,8.053,14.69,5750
17372,8.920,7.835,5.94,4660
17373,8.748,8.192,8.28,5750
17374,10.286,9.696,5.90,5370
17375,7.396,7.113,9.23,8000
17376,7.730,7.684,3.82,9000
17377,8.704,7.980,19.40,5500
17378,7.778,7.640,7.13,9000
17379,8.545,7.942,14.10,5790
17380,9.583,8.994,12.69,5790
17381,8.795,8.302,7.50,6650
17382,7.974,7.959,2.66,10500
17383,7.868,6.835,5.84,4660
17384,5.306,5.348,8.63,9500
17385,8.715,8.244,5.63,6650
17386,9.156,8.503,14.44,4930
17387,8.871,7.635,4.59,4390
17388,10.010,9.399,7.42,5750
17389,8.635,7.962,19.86,5700
17390,8.895,8.822,4.71,9790
17391,8.722,8.347,5.13,7030
17392,7.487,6.363,8.93,4500
17393,8.722,8.046,21.26,5560
17394,9.362,8.944,8.81,5750
17395,8.093,7.489,23.37,5700
17396,5.232,5.327,6.53,12500
17397,6.315,6.269,8.98,9790
17398,8.612,7.250,3.56,4250
17399,7.032,6.899,8.11,9380
17400,7.926,6.352,4.11,3600
17401,6.651,5.489,18.64,4250
17402,8.675,8.267,8.56,7460
17403,7.288,7.252,6.88,9790
17404,6.388,5.477,11.59,5150
17405,9.326,8.815,5.17,6370
17406,7.449,7.409,4.55,9790
17407,7.382,6.984,16.21,6900
17408,9.984,9.133,4.63,4500
17409,8.350,7.153,6.00,4500
17410,8.715,8.321,8.64,6370
17411,9.088,8.272,9.57,5310
17412,10.526,9.354,49.54,4410
17413,6.499,6.288,13.46,8400
17414,10.100,9.524,10.43,5370
17415,8.944,8.414,9.38,6200
17416,9.869,9.116,18.85,5500
17417,9.862,9.289,4.48,5940
17418,10.097,9.536,12.52,5370
17419,8.942,7.376,4.34,4050
17420,6.526,6.350,2.25,9000
17421,8.274,8.048,4.80,8000
17422,8.864,8.031,8.77,5250
17423,4.706,4.843,6.98,19000
17424,5.560,5.423,16.35,8600
17425,5.059,5.137,6.19,10500
17426,7.328,7.227,6.51,9500
17427,10.010,9.538,5.94,5750
17428,9.267,8.883,8.09,7000
17429,8.470,8.112,6.17,7500
17430,9.562,8.982,13.68,5940
17431,9.800,9.161,13.63,5370
17432,9.197,8.269,7.88,5310
17433,9.531,8.967,9.30,5370
17434,11.173,9.944,30.61,4410
17435,7.907,7.895,6.01,10500
17436,9.993,9.411,8.31,5900
17437,8.532,7.907,21.98,5700
17438,6.258,6.352,2.70,20900
17439,7.631,7.348,5.98,7460
17440,9.189,8.352,28.77,5150
17441,8.732,8.376,6.57,7300
17442,9.605,9.157,6.55,6370
17443,8.170,7.671,10.23,5800
17444,8.812,8.335,12.32,6370
17445,6.544,6.540,2.79,17000
17446,8.072,6.960,4.36,4660
17447,8.215,7.672,11.77,5750
17448,6.343,6.467,2.64,15200
17449,8.329,7.967,8.32,7350
17450,6.738,6.741,5.34,9790
17451,8.640,8.213,10.18,6650
17452,8.444,7.880,22.06,5940
17453,10.328,9.687,8.35,5370
17454,9.069,8.595,8.48,5750
17455,5.902,5.864,7.57,9500
17456,8.520,8.215,6.92,7600
17457,9.095,8.689,4.28,7030
17458,9.142,8.779,7.63,7000
17459,9.135,8.020,5.88,4660
17460,9.215,8.708,39.20,6500
17461,9.250,8.784,7.67,6650
17462,9.184,9.060,4.26,9500
17463,8.902,8.357,13.02,6650
17464,7.479,7.039,14.73,6650
17465,8.513,7.966,11.47,5370
17466,7.508,5.925,5.82,3540
17467,7.449,6.504,6.82,4800
17468,8.595,8.310,3.35,7350
17469,8.362,8.182,5.55,8600
17470,9.708,9.256,7.61,7030
17471,9.663,9.000,11.03,5700
17472,6.377,6.394,7.73,9500
17473,8.352,7.814,6.59,6250
17474,7.993,7.079,4.82,4660
17475,8.086,7.473,18.27,5790
17476,9.376,8.690,17.89,4930
17477,8.331,7.322,5.73,4660
17478,8.539,7.585,5.34,4660
17479,7.986,8.017,3.50,10500
17480,8.618,8.010,15.39,5700
17481,10.057,9.211,13.48,5250
17482,5.354,5.309,10.06,9000
17483,8.876,7.954,3.99,5310
17484,7.205,7.160,7.23,9790
17485,9.272,8.642,12.56,4930
17486,8.472,8.151,10.25,7350
17487,10.029,9.229,17.39,5250
17488,8.440,7.807,10.68,5370
17489,10.269,9.668,7.88,4930
17490,10.335,9.612,11.10,4930
17491,8.423,7.855,13.59,5900
17492,10.253,9.800,5.32,5750
17493,4.386,3.107,23.70,4500
17494,7.921,7.543,13.36,7150
17495,10.114,9.772,5.01,7600
17496,8.868,8.293,8.94,6200
17497,11.659,10.484,23.57,4410
17498,8.524,7.998,10.81,6370
17499,8.373,8.342,2.73,10500
17500,5.650,5.598,9.22,9500
17501,9.496,9.013,8.82,6370
17502,8.822,8.222,12.89,5940
17503,11.081,10.890,161.30,8610
17504,9.725,8.616,4.69,4660
17505,8.852,8.477,5.17,7460
17506,8.145,7.531,19.22,5700
17507,8.588,7.521,7.09,4500
17508,9.144,8.612,10.18,6200
17509,11.935,10.788,23.12,4410
17510,8.093,7.558,10.01,6370
17511,7.956,7.548,12.59,6370
17512,9.836,9.159,16.57,5500
17513,8.994,8.697,5.80,7030
17514,9.822,8.642,4.55,4500
17515,8.338,7.923,7.88,7000
17516,8.972,8.076,4.73,4550
17517,9.809,9.211,10.50,5370
17518,8.798,8.241,4.59,5750
17519,8.791,8.234,10.39,6200
17520,7.933,7.472,11.47,6800
17521,6.749,6.787,4.71,10500
17522,6.660,6.558,5.94,8600
17523,10.093,9.574,6.48,5370
17524,6.797,5.657,9.38,4390
17525,9.029,8.649,4.94,7460
17526,9.510,8.892,7.90,5790
17527,8.331,7.823,20.02,5750
17528,8.748,8.055,22.97,4930
17529,10.635,10.168,7.36,5750
17530,6.724,5.553,12.43,4390
17531,9.081,8.527,6.36,6500
17532,8.697,8.197,19.14,6800
17533,9.734,9.333,6.03,7300
17534,6.783,6.690,2.99,11100
17535,10.545,9.960,8.57,5750
17536,9.477,9.107,5.55,7300
17537,9.458,8.713,16.37,5310
17538,11.187,10.197,21.95,4250
17539,8.623,7.847,26.42,5500
17540,9.262,8.725,5.51,6500
17541,9.093,8.548,15.59,6200
17542,8.532,7.949,12.47,5900
17543,6.541,6.287,5.59,8250
17544,9.918,9.206,10.84,5560
17545,8.972,7.953,3.49,4660
17546,7.078,6.559,21.44,6200
17547,9.022,8.470,8.53,5940
17548,10.267,9.600,11.14,5370
17549,8.642,8.116,5.05,5370
17550,8.628,8.175,7.67,6370
17551,9.343,8.732,13.78,5370
17552,9.291,8.678,13.10,5790
17553,9.296,8.859,4.51,6800
17554,9.446,8.967,9.43,6650
17555,7.903,7.551,11.34,7300
17556,7.473,7.510,3.70,10500
17557,9.723,9.119,9.14,6200
17558,7.552,7.452,3.94,8600
17559,7.955,7.760,3.82,8750
17560,8.135,7.640,12.72,6370
17561,7.868,6.306,4.05,4050
17562,8.357,7.769,20.52,5790
17563,7.406,7.001,7.40,7030
17564,9.140,8.574,12.85,5370
17565,9.774,8.821,5.63,5310
17566,8.194,7.625,27.94,5940
17567,11.076,10.062,25.01,4100
17568,8.357,6.702,2.53,3600
17569,7.920,7.467,8.93,6650
17570,7.743,7.171,22.96,5900
17571,10.229,9.750,6.69,5750
17572,9.107,8.416,6.15,4930
17573,8.401,7.742,12.96,4930
17574,9.482,8.725,8.48,5560
17575,10.911,10.053,15.88,4550
17576,7.689,7.028,23.93,5650
17577,8.072,7.989,5.11,9790
17578,10.524,9.456,7.71,4500
17579,9.817,9.088,10.86,5560
17580,8.956,8.404,13.72,5750
17581,8.538,7.980,13.05,6250
17582,4.844,3.788,33.22,4660
17583,10.255,9.262,28.95,4700
17584,9.996,9.383,10.81,5900
17585,8.612,8.086,17.04,6250
17586,9.434,8.848,4.53,5940
17587,9.560,9.036,10.01,6200
17588,9.390,9.032,5.28,7350
17589,9.220,8.737,12.15,5370
17590,8.970,8.180,23.48,5310
17591,5.725,5.227,32.20,6500
17592,4.717,3.776,33.91,4660
17593,9.324,8.760,3.84,6900
17594,8.609,8.006,9.82,5370
17595,7.905,7.801,6.36,8400
17596,7.574,6.336,12.89,4390
17597,9.234,8.854,7.94,7460
17598,10.256,9.821,6.32,7030
17599,8.256,7.314,4.46,4660
17600,9.277,8.845,5.00,7000
17601,6.413,5.442,10.27,4800
17602,8.732,8.050,8.78,5370
17603,8.307,7.876,9.81,7000
17604,9.618,9.307,4.98,7030
17605,9.298,8.782,7.67,6500
17606,8.404,8.086,7.98,7300
17607,9.293,8.871,7.82,5750
17608,8.107,7.756,5.09,7460
17609,8.543,8.095,8.56,6900
17610,7.446,7.502,3.57,14000
17611,8.734,8.116,12.89,5790
17612,8.942,8.362,13.94,5370
17613,9.126,8.399,24.28,5310
17614,8.947,8.321,12.53,5790
17615,9.189,8.592,11.35,5900
17616,9.538,9.012,8.60,5750
17617,9.564,9.031,13.35,5370
17618,8.090,7.545,19.04,6250
17619,8.147,7.907,6.86,8180
17620,9.225,8.772,9.02,5750
17621,9.480,8.815,18.28,5370
17622,9.064,8.560,9.61,6500
17623,8.444,8.029,7.09,6800
17624,8.831,8.465,6.53,7300
17625,7.089,6.526,15.14,5750
17626,10.482,9.982,6.61,5750
17627,6.488,6.188,7.82,7500
17628,7.994,6.954,6.90,4500
17629,7.769,7.395,7.19,7000
17630,8.182,7.389,6.34,4550
17631,8.059,7.980,4.65,9790
17632,8.121,7.905,5.28,8400
17633,8.248,8.173,3.49,9790
17634,7.528,6.438,5.32,4500
17635,9.836,9.326,6.94,6370
17636,8.689,7.675,4.80,4660
17637,6.982,5.921,10.51,4660
17638,7.907,7.576,8.43,7350
17639,8.810,8.406,6.57,7300
17640,9.218,8.704,9.77,6200
17641,9.284,8.689,12.39,5370
17642,7.203,7.263,3.18,10500
17643,9.336,8.960,7.30,7350
17644,6.460,6.396,10.13,9790
17645,9.057,8.479,15.47,5900
17646,4.482,4.465,11.21,9500
17647,8.397,8.104,4.86,7350
17648,8.942,8.222,18.95,5500
17649,6.125,5.025,13.14,4500
17650,7.926,7.501,16.38,6800
17651,9.961,9.456,8.71,5750
17652,9.088,8.515,14.23,5940
17653,9.227,8.751,5.50,6900
17654,9.170,8.520,14.59,5560
17655,9.187,8.545,9.89,5700
17656,10.147,9.373,18.25,4550
17657,9.645,9.090,9.17,5940
17658,7.914,7.505,13.22,6900
17659,9.682,9.154,7.21,5750
17660,11.347,10.470,8.71,4550
17661,7.172,6.026,10.27,4390
17662,9.201,8.449,26.68,4800
17663,8.711,8.256,7.25,6370
17664,7.796,6.796,6.61,4660
17665,8.244,7.947,11.06,7300
17666,9.050,8.414,10.52,5900
17667,9.748,9.156,8.52,6250
17668,10.286,9.586,11.93,5560
17669,8.347,8.086,4.88,8180
17670,8.524,8.446,4.36,10500
17671,9.423,8.800,10.57,5700
17672,7.717,7.276,20.05,6900
17673,8.230,7.919,7.55,7350
17674,5.613,4.593,16.26,4660
17675,8.975,8.444,14.15,6250
17676,8.968,8.406,10.35,5940
17677,8.692,8.267,11.00,7000
17678,8.546,7.901,23.93,5700
17679,9.531,8.998,13.59,5750
17680,8.984,8.590,7.48,6800
17681,7.802,7.420,12.02,7300
17682,10.395,9.722,10.14,5560
17683,11.513,10.876,176.69,4930
17684,7.611,7.355,10.97,7600
17685,9.286,8.765,8.17,6650
17686,10.015,9.498,6.36,5750
17687,6.086,5.900,10.14,7600
17688,7.316,6.864,16.21,6900
17689,10.135,9.303,14.89,5150
17690,8.562,7.922,20.34,5370
17691,9.355,8.843,9.39,6250
17692,7.697,7.372,10.92,7300
17693,8.590,8.329,5.73,8180
17694,9.274,8.689,14.89,5900
17695,8.859,8.428,10.10,6370
17696,6.583,6.591,3.75,12500
17697,9.604,8.991,5.80,5600
17698,9.317,8.836,7.28,6370
17699,10.223,9.336,20.07,4550
17700,10.371,9.364,8.05,4310
17701,8.376,8.090,5.88,7750
17702,9.237,8.887,5.48,7460
17703,8.348,7.918,10.42,6900
17704,7.982,6.830,7.15,4500
17705,8.333,7.893,9.75,7000
17706,8.479,8.003,12.56,5750
17707,8.748,7.599,4.01,4500
17708,9.729,9.220,7.80,5750
17709,7.923,7.479,9.22,6650
17710,9.331,9.092,5.51,7460
17711,7.256,7.065,7.90,7600
17712,9.269,8.807,5.57,6650
17713,9.079,8.690,4.51,7460
17714,9.623,9.107,7.28,5750
17715,8.876,7.631,4.92,4390
17716,10.253,9.748,8.13,5750
17717,9.034,8.437,11.02,5370
17718,10.269,9.515,13.75,5560
17719,9.576,8.920,11.69,5500
17720,7.552,7.502,4.38,10500
17721,10.069,9.100,6.01,4800
17722,11.378,10.265,25.35,4100
17723,9.538,8.760,18.80,4930
17724,9.305,8.638,11.76,5650
17725,9.208,8.656,13.85,5940
17726,8.520,7.522,6.38,5150
17727,9.328,8.717,15.63,5900
17728,8.069,7.861,6.55,7500
17729,8.116,8.012,4.15,9000
17730,8.362,8.128,6.57,7460
17731,12.239,11.128,20.06,3990
17732,8.710,7.673,4.80,4660
17733,7.914,6.847,6.59,4660
17734,9.309,8.314,4.42,4660
17735,8.024,7.568,12.77,6250
17736,7.317,6.813,25.87,6500
17737,8.397,8.071,7.03,7150
17738,8.895,8.253,21.81,4930
17739,9.689,9.107,8.19,5790
17740,8.255,8.045,8.14,7600
17741,9.859,9.262,5.76,4930
17742,8.899,8.385,6.57,5750
17743,6.298,6.184,8.94,9500
17744,6.118,6.175,8.84,11400
17745,7.800,7.604,7.80,8180
17746,10.541,9.923,6.69,5750
17747,7.242,7.236,4.11,10500
17748,7.888,7.331,16.54,6250
17749,9.348,8.192,4.44,4500
17750,9.487,8.604,27.15,4830
17751,5.660,5.028,71.12,5940
17752,8.857,8.218,20.37,4930
17753,7.578,6.001,3.55,3540
17754,6.973,6.522,22.37,6650
17755,7.848,7.689,3.40,9000
17756,5.173,4.077,18.18,4500
17757,7.775,7.513,6.86,7350
17758,9.234,8.461,27.57,5310
17759,9.243,8.755,8.31,6370
17760,8.317,7.093,5.11,4390
17761,9.472,9.076,7.19,7000
17762,9.027,8.614,7.26,6370
17763,8.670,7.633,3.90,4660
17764,5.738,5.800,11.22,10500
17765,9.633,9.031,9.13,5560
17766,9.258,8.769,6.94,6650
17767,9.100,8.715,4.36,7150
17768,4.500,4.368,16.38,8600
17769,8.413,7.895,13.27,6200
17770,7.415,5.853,7.48,4050
17771,10.541,9.741,7.98,5250
17772,9.130,8.619,4.92,6500
17773,6.982,5.454,3.56,4050
17774,8.048,7.565,10.98,6650
17775,8.862,8.262,19.31,5940
17776,8.972,8.510,5.69,5750
17777,10.241,9.456,18.51,5250
17778,7.644,7.519,7.65,8600
17779,8.616,8.206,4.59,7030
17780,7.407,6.397,5.86,4700
17781,7.635,7.635,3.56,10500
17782,9.012,9.008,4.88,10500
17783,7.758,6.446,7.90,4250
17784,9.845,9.324,7.71,5750
17785,9.284,8.684,11.85,5370
17786,7.857,7.086,14.06,5310
17787,10.814,10.102,13.05,4930
17788,6.603,6.061,32.06,6250
17789,8.774,8.248,5.32,6900
17790,10.272,9.411,16.85,4310
17791,7.908,7.833,4.48,9500
17792,5.158,4.985,21.68,8500
17793,9.710,9.065,14.39,5370
17794,9.875,9.218,11.10,4930
17795,10.149,9.378,16.34,5250
17796,6.824,6.813,8.07,9790
17797,8.229,7.573,30.21,5560
17798,8.489,8.090,9.34,7000
17799,7.310,6.764,14.86,6200
17800,7.836,7.761,5.26,9500
17801,9.237,8.833,6.92,7300
17802,9.326,8.612,12.27,5790
17803,9.145,8.635,9.00,5750
17804,7.408,7.276,6.32,8600
17805,10.659,9.967,14.69,4930
17806,8.024,8.020,3.03,9790
17807,7.920,7.006,5.55,4550
17808,8.597,7.919,20.25,5560
17809,9.963,9.149,17.62,5250
17810,8.121,7.578,13.39,6250
17811,10.982,10.227,8.44,4930
17812,8.286,8.057,4.55,7460
17813,8.842,8.166,22.32,4930
17814,8.939,8.465,11.84,6900
17815,9.038,8.501,6.78,6250
17816,8.755,8.128,8.27,5940
17817,8.821,8.336,11.34,6650
17818,6.324,4.725,6.01,4050
17819,2.382,2.341,40.70,9500
17820,7.586,7.506,7.01,9500
17821,9.019,8.569,6.69,5750
17822,9.779,8.928,7.17,5150
17823,7.537,7.366,6.51,9000
17824,10.109,9.663,6.03,6370
17825,9.326,8.989,4.67,7300
17826,9.071,8.559,8.64,6250
17827,8.321,8.293,4.38,9790
17828,9.836,9.262,8.65,6200
17829,10.036,9.277,9.40,5150
17830,9.677,9.053,9.27,4930
17831,10.456,9.864,7.11,5370
17832,4.472,4.401,26.25,9500
17833,9.550,9.097,8.94,5750
17834,8.482,8.427,4.48,9380
17835,9.520,8.392,7.01,4390
17836,6.528,6.202,18.80,7350
17837,9.449,9.001,7.09,6370
17838,8.069,7.544,8.97,6500
17839,9.071,8.593,9.03,6500
17840,9.128,8.498,8.89,5790
17841,9.262,8.654,15.72,5560
17842,8.083,7.987,3.23,10500
17843,10.000,9.024,32.63,4700
17844,8.468,8.062,8.01,6900
17845,9.491,8.873,9.72,5790
17846,6.809,6.782,3.98,15200
17847,8.956,8.397,12.97,6200
17848,9.446,8.192,5.38,4390
17849,8.711,8.206,10.28,5750
17850,8.914,7.795,4.09,4500
17851,8.220,7.182,5.32,4660
17852,8.840,8.423,9.76,7000
17853,8.925,8.645,5.80,7460
17854,8.432,7.863,11.84,6200
17855,6.994,6.709,5.38,7600
17856,8.112,7.057,5.15,4500
17857,6.395,6.116,18.45,7300
17858,6.447,5.502,10.11,4900
17859,8.036,6.451,4.44,3500
17860,9.178,9.048,4.26,9380
17861,9.713,8.697,4.71,4660
17862,9.609,8.956,9.27,5560
17863,8.072,7.613,15.19,6500
17864,7.210,6.339,6.19,4800
17865,7.182,5.929,5.86,4250
17866,8.204,7.329,11.42,4800
17867,7.077,6.730,12.93,7300
17868,10.008,9.340,10.38,5700
17869,7.247,6.964,15.93,7600
17870,8.324,7.385,7.94,4660
17871,6.869,6.639,6.38,7350
17872,8.456,8.015,6.59,7000
17873,7.948,7.873,3.61,10500
17874,8.272,7.714,19.51,6250
17875,8.343,7.791,17.78,6200
17876,9.951,9.493,7.19,5750
17877,7.807,7.427,13.44,7000
17878,9.524,8.788,12.68,5310
17879,7.366,7.144,8.90,7600
17880,8.890,8.253,19.18,4930
17881,6.952,6.886,4.82,9500
17882,9.673,8.854,21.20,5150
17883,9.508,9.067,6.98,6900
17884,8.288,7.955,6.48,7000
17885,7.989,7.064,4.65,4800
17886,8.916,8.427,5.57,5370
17887,9.397,8.866,10.77,5750
17888,5.934,5.669,11.89,7500
17889,6.190,6.018,12.17,9000
17890,8.418,8.013,7.23,6900
17891,6.914,6.866,7.15,9000
17892,9.135,7.892,4.28,4390
17893,8.538,7.998,7.34,6500
17894,9.371,8.946,6.90,7000
17895,8.112,7.914,7.17,8180
17896,9.010,8.456,11.15,6250
17897,9.378,8.880,12.43,6650
17898,8.857,8.314,8.56,5750
17899,9.579,8.921,9.57,5650
17900,7.245,7.229,6.15,9790
17901,8.475,8.401,5.15,9790
17902,8.475,7.894,12.25,5940
17903,9.293,8.892,7.82,7000
17904,4.973,4.614,34.52,6500
17905,6.099,6.097,6.11,10500
17906,9.260,8.746,5.98,6650
17907,9.027,8.373,13.18,5370
17908,8.590,7.480,4.00,4500
17909,8.800,8.072,11.85,5700
17910,8.189,7.593,16.55,5370
17911,8.206,7.796,11.30,7000
17912,9.829,9.105,5.44,5560
17913,6.396,6.086,15.36,7300
17914,9.126,8.737,8.14,7350
17915,8.951,8.385,10.76,5940
17916,7.774,7.346,9.32,7300
17917,6.861,6.809,9.31,9790
17918,7.560,7.030,24.70,6370
17919,9.626,9.034,14.13,5370
17920,8.015,7.548,16.82,6650
17921,8.692,8.105,17.42,5900
17922,8.225,7.843,8.72,7000
17923,8.494,7.247,5.30,4250
17924,9.407,8.899,7.73,6370
17925,9.711,9.218,5.75,6000
17926,9.557,8.977,10.35,5940
17927,8.826,8.467,6.26,6370
17928,8.656,8.267,7.19,6370
17929,9.161,8.720,8.46,5750
17930,9.468,8.515,5.26,4660
17931,7.742,7.263,15.96,6370
17932,9.843,9.142,45.59,4750
17933,9.218,8.590,7.13,5790
17934,10.498,9.734,16.51,4930
17935,8.991,8.395,15.88,5790
17936,7.905,7.223,31.18,5560
17937,6.514,6.385,6.92,8600
17938,7.462,6.297,8.72,4390
