No,B,V,mas,T
2608,8.369,7.143,4.92,4250
2609,7.756,7.420,8.47,7000
2610,7.914,7.631,7.75,7300
2611,7.710,6.550,6.84,4390
2612,7.953,7.651,9.30,7350
2613,9.536,8.807,8.47,5500
2614,8.472,8.065,27.10,7030
2615,9.152,8.607,9.72,5370
2616,10.005,9.432,7.69,6500
2617,9.256,8.706,4.46,6500
2618,7.298,6.610,46.99,5560
2619,9.057,8.508,11.47,5940
2620,7.117,5.981,7.05,4390
2621,8.685,8.178,11.31,6370
2622,9.288,8.522,22.65,4800
2623,8.703,8.147,10.53,6200
2624,8.954,8.534,7.34,6900
2625,8.550,8.086,8.60,6500
2626,8.460,7.834,20.95,5900
2627,9.446,8.835,13.73,5370
2628,9.244,8.842,9.65,6800
2629,9.625,9.178,6.21,6650
2630,7.695,7.272,8.68,6900
2631,7.955,6.359,5.53,4050
2632,9.477,8.378,5.59,4660
2633,9.736,9.152,13.40,5940
2634,8.510,8.085,6.80,6800
2635,8.131,7.181,5.34,4550
2636,9.189,8.706,3.92,7460
2637,9.831,9.088,19.78,5300
2638,9.211,8.774,7.57,6900
2639,9.243,8.711,7.76,6200
2640,8.031,7.609,15.07,7000
2641,8.642,8.086,14.43,5370
2642,6.927,6.953,3.29,10500
2643,7.122,7.125,3.16,9980
2644,9.090,8.501,11.63,5900
2645,4.872,4.960,4.53,11100
2646,8.737,8.081,16.02,5700
2647,8.621,7.899,28.42,5560
2648,9.154,8.560,13.65,5940
2649,5.867,5.632,12.06,7350
2650,10.100,9.397,7.78,5700
2651,12.218,11.053,18.70,3990
2652,9.781,8.878,24.20,4310
2653,11.380,10.156,33.72,3990
2654,9.644,9.156,9.09,6900
2655,8.727,8.387,5.17,7300
2656,9.090,8.126,6.67,4660
2657,9.597,8.930,17.23,5500
2658,10.602,9.932,11.88,5370
2659,6.710,6.718,3.46,10500
2660,9.173,8.486,19.48,5560
2661,8.364,7.946,6.34,6650
2662,8.024,7.394,13.81,5750
2663,8.826,8.088,23.62,5310
2664,8.434,7.451,4.15,4800
2665,9.319,8.288,7.01,4660
2666,9.355,8.715,13.18,4930
2667,8.869,8.326,14.06,5940
2668,9.109,8.713,6.59,7150
2669,9.833,9.081,16.98,5310
2670,5.841,4.435,8.68,4250
2671,9.319,8.668,14.56,5560
2672,6.617,6.183,23.62,6800
2673,9.218,8.810,6.13,6900
2674,9.279,8.866,8.35,6900
2675,10.671,10.100,9.06,5940
2676,10.006,9.289,12.47,5560
2677,8.991,8.435,9.47,5370
2678,6.987,5.959,6.21,4660
2679,8.993,8.531,5.75,7000
2680,10.008,9.194,15.06,4550
2681,6.775,6.637,7.13,8600
2682,9.592,8.963,10.85,5790
2683,8.361,7.887,9.73,5750
2684,9.967,9.428,5.76,6200
2685,9.354,8.581,18.20,5310
2686,8.546,8.376,4.65,9380
2687,9.381,8.899,12.65,5370
2688,5.706,5.702,10.77,9790
2689,5.573,5.629,12.34,10500
2690,8.935,7.968,3.59,4800
2691,10.637,10.173,8.15,5750
2692,7.574,7.521,3.79,9380
2693,6.284,5.251,14.25,4500
2694,9.590,8.996,11.64,5900
2695,8.081,7.447,20.45,5700
2696,5.513,5.559,7.25,9980
2697,8.376,7.935,10.48,6900
2698,8.545,7.965,7.57,6250
2699,9.645,9.111,9.14,6200
2700,6.072,5.517,57.61,6250
2701,9.779,9.137,8.19,4930
2702,7.673,7.677,4.26,11100
2703,9.097,8.385,22.53,5500
2704,8.444,7.921,10.76,5750
2705,9.880,8.824,4.90,4830
2706,9.826,9.310,9.03,5900
2707,8.708,8.390,4.30,7460
2708,9.456,9.076,5.75,6900
2709,5.159,5.175,11.90,10500
2710,6.340,6.322,2.97,12000
2711,9.779,9.256,5.59,6200
2712,10.090,9.178,23.54,4830
2713,9.123,8.567,6.11,5750
2714,9.093,8.241,30.97,5150
2715,7.349,6.318,17.93,4830
2716,10.454,9.727,6.65,4930
2717,9.272,8.781,9.47,6650
2718,7.650,6.572,6.80,4500
2719,9.041,7.965,6.03,4660
2720,8.998,8.418,14.15,6200
2721,9.288,7.971,4.23,4250
2722,8.951,7.895,6.94,4660
2723,7.778,7.714,3.77,9500
2724,9.227,8.730,11.00,6370
2725,7.034,7.000,4.00,10500
2726,7.869,7.269,22.64,5750
2727,8.920,8.487,8.56,6900
2728,10.477,9.708,14.22,4550
2729,8.746,8.107,17.50,5700
2730,9.345,8.803,7.46,6200
2731,7.778,6.309,6.09,4050
2732,9.420,8.729,21.45,5500
2733,10.826,10.263,11.42,5370
2734,8.739,7.690,6.19,4660
2735,7.425,6.515,6.09,4660
2736,7.604,7.254,8.55,7460
2737,9.083,8.487,7.46,5940
2738,6.309,6.232,6.07,9000
2739,10.762,10.055,7.90,4930
2740,9.456,9.005,5.36,6650
2741,6.982,6.277,30.88,5560
2742,8.536,6.964,5.90,3540
2743,10.569,9.769,16.59,4550
2744,10.286,9.586,10.14,5310
2745,7.962,7.645,8.88,7500
2746,9.475,9.050,7.51,6900
2747,8.239,7.185,7.09,4660
2748,9.826,9.314,7.61,6250
2749,8.182,7.193,4.86,4660
2750,9.649,8.697,4.73,4800
2751,9.699,9.116,12.13,5940
2752,9.116,8.503,14.28,5790
2753,9.534,8.956,8.39,5940
2754,8.836,8.309,8.01,6500
2755,10.227,9.534,13.56,5310
2756,10.286,9.656,8.96,5650
2757,5.221,4.261,13.10,4660
2758,9.159,8.777,8.51,6500
2759,10.119,9.631,5.51,6370
2760,9.383,8.425,6.34,4310
2761,5.718,5.323,36.09,7000
2762,6.526,6.546,5.51,9380
2763,7.124,6.980,7.78,8600
2764,8.630,8.515,5.21,9980
2765,9.307,8.730,6.13,6250
2766,10.295,9.852,5.96,6900
2767,11.227,10.126,24.51,3990
2768,9.927,9.190,14.81,4550
2769,7.190,6.814,6.01,6500
2770,9.942,8.765,3.10,4390
2771,9.347,8.682,19.77,5700
2772,6.754,6.385,23.12,7000
2773,7.072,5.489,4.65,3500
2774,5.073,5.033,17.37,9500
2775,9.739,9.147,6.07,5370
2776,8.831,8.399,8.94,6370
2777,9.461,8.949,6.92,5750
2778,9.232,8.826,7.90,6370
2779,9.684,9.145,6.53,6500
2780,8.807,8.352,11.23,6650
2781,10.069,9.305,12.64,4800
2782,9.321,8.760,7.94,5370
2783,9.319,8.810,8.15,6650
2784,6.831,6.533,4.59,7400
2785,8.157,7.360,11.69,5310
2786,8.147,7.682,7.94,6650
2787,8.850,8.312,8.03,6200
2788,8.746,8.121,18.54,5750
2789,9.930,9.258,9.81,5560
2790,7.947,7.356,14.26,5940
2791,8.088,7.762,8.34,7460
2792,9.260,8.805,9.81,6900
2793,6.787,6.684,10.27,9500
2794,10.795,10.092,15.44,4550
2795,10.060,9.472,10.72,5940
2796,7.763,7.387,6.36,7000
2797,8.927,8.387,7.88,5750
2798,7.032,7.039,3.85,10500
2799,9.241,8.670,11.73,5370
2800,10.352,9.928,6.61,7000
2801,7.868,7.609,5.40,8000
2802,9.722,9.161,5.55,6500
2803,9.928,9.406,9.93,6500
2804,9.454,8.385,5.78,4500
2805,7.869,7.866,4.42,9980
2806,8.267,7.831,10.93,6900
2807,8.885,7.791,5.30,4660
2808,9.201,8.680,8.51,6370
2809,9.770,8.958,25.80,5150
2810,9.074,8.626,7.82,6650
2811,8.732,8.201,12.55,6250
2812,10.024,9.444,9.02,6250
2813,8.920,8.388,12.81,6650
2814,10.871,9.734,30.67,4410
2815,9.454,8.480,4.34,4550
2816,6.401,6.046,16.06,7000
2817,7.291,6.316,5.82,4660
2818,6.781,6.315,16.87,6500
2819,9.546,9.086,7.05,6650
2820,10.293,9.666,8.31,5790
2821,10.348,9.782,8.38,6250
2822,10.001,9.463,10.00,5900
2823,9.305,8.246,3.25,4660
2824,5.821,5.852,11.61,9790
2825,9.472,8.314,4.21,4390
2826,9.534,9.050,5.36,6650
2827,8.927,8.402,11.26,6500
2828,9.994,9.215,13.32,5310
2829,10.173,9.552,9.22,5940
2830,7.776,7.126,22.11,5650
2831,8.010,7.328,11.47,5790
2832,6.882,5.900,9.76,4700
2833,8.979,8.027,4.36,4660
2834,8.836,8.506,8.60,7030
2835,8.937,8.579,7.86,7460
2836,7.392,7.102,8.69,7300
2837,9.006,8.303,9.64,5370
2838,8.848,8.371,7.92,6650
2839,10.496,9.892,10.85,5700
2840,6.910,5.934,10.77,4660
2841,9.840,9.045,18.65,4550
2842,9.241,8.828,9.02,6900
2843,6.359,5.780,36.68,6250
2844,8.383,7.901,6.03,6800
2845,9.934,9.350,6.71,5700
2846,8.555,7.580,4.55,4800
2847,9.571,8.831,50.40,4930
2848,9.274,8.732,12.06,6500
2849,7.600,7.619,4.23,10500
2850,7.906,7.566,10.52,7460
2851,7.625,7.362,10.28,7600
2852,10.125,9.430,6.50,5790
2853,9.892,9.446,4.32,7000
2854,9.107,8.661,6.21,6900
2855,8.654,8.218,6.36,7000
2856,8.765,8.307,8.81,7030
2857,8.727,8.182,16.29,5750
2858,9.071,8.671,6.09,7000
2859,8.758,8.140,17.29,5370
2860,9.114,7.909,4.69,4390
2861,9.418,8.862,10.71,6200
2862,7.738,7.802,3.68,11400
2863,7.361,6.717,41.15,5700
2864,10.236,9.519,9.89,5500
2865,5.020,4.652,41.84,6300
2866,8.602,7.929,20.62,5560
2867,9.034,8.564,9.15,6650
2868,8.692,8.159,13.35,6370
2869,9.557,8.902,16.03,5560
2870,6.897,6.372,36.95,6500
2871,10.187,9.451,16.35,5500
2872,9.251,8.595,19.04,5310
2873,8.031,7.402,10.82,5900
2874,9.050,8.451,13.02,5900
2875,8.562,8.147,4.57,7460
2876,9.059,8.701,6.80,7300
2877,8.704,8.215,9.10,6650
2878,9.154,8.253,4.65,5310
2879,9.105,8.477,11.31,5370
2880,9.015,8.619,9.77,7460
2881,8.970,7.886,7.13,4830
2882,8.824,8.060,37.40,4800
2883,7.316,6.218,5.67,4500
2884,8.491,7.364,4.71,4390
2885,8.274,8.272,3.59,10500
2886,8.496,7.959,10.71,6370
2887,10.142,9.461,5.50,5560
2888,8.024,7.560,18.18,6500
2889,7.973,7.570,14.06,7460
2890,9.866,9.239,5.96,5940
2891,8.845,8.560,4.48,7460
2892,10.253,9.503,14.64,5310
2893,10.187,9.750,6.78,6900
2894,6.243,5.921,23.43,7000
2895,9.046,8.468,11.56,4930
2896,7.693,7.112,5.30,6370
2897,6.401,5.951,22.30,6650
2898,8.873,7.425,4.32,4150
2899,10.215,9.838,4.34,7300
2900,7.034,6.696,4.46,7000
2901,9.734,9.187,11.86,6650
2902,7.548,7.407,3.25,9980
2903,7.666,7.190,14.48,6650
2904,7.882,7.900,4.34,9980
2905,9.657,9.262,5.94,6900
2906,7.531,6.429,7.19,4500
2907,7.072,7.123,4.26,9980
2908,9.368,8.661,8.51,4930
2909,7.513,7.188,11.60,7350
2910,9.262,8.616,22.54,5560
2911,8.862,8.309,7.07,5370
2912,7.552,7.175,14.85,7300
2913,7.947,7.710,6.01,8610
2914,9.079,8.576,5.57,6650
2915,9.105,8.762,4.98,7350
2916,9.638,8.949,18.25,5500
2917,10.512,9.748,8.81,5300
2918,9.595,9.225,6.69,6900
2919,8.963,8.458,9.23,6650
2920,8.027,6.447,4.07,3540
2921,7.438,6.934,9.47,6370
2922,9.118,8.656,5.50,6650
2923,7.968,7.421,10.64,6500
2924,8.508,8.074,7.13,6800
2925,9.600,8.534,4.23,4660
2926,9.340,8.065,3.84,4250
2927,9.852,8.949,32.41,4800
2928,5.348,5.519,3.19,20900
2929,9.640,9.074,7.21,5940
2930,8.991,8.034,4.71,4800
2931,8.517,8.102,10.94,6800
2932,9.666,9.029,16.46,5370
2933,8.180,7.624,12.64,5750
2934,8.079,7.947,3.50,8600
2935,8.515,8.088,12.81,6900
2936,9.968,9.392,8.18,6200
2937,10.534,9.559,25.55,4830
2938,8.913,8.541,7.19,7000
2939,10.090,9.520,6.09,5700
2940,7.328,6.901,18.09,5750
2941,9.135,8.607,6.57,6200
2942,8.284,8.003,6.23,7600
2943,9.583,9.043,8.18,6200
2944,10.243,9.706,6.03,6200
2945,8.333,7.903,7.63,6900
2946,6.723,6.758,4.30,10500
2947,10.324,9.795,5.92,5940
2948,8.914,8.510,6.44,7300
2949,8.468,7.513,4.86,5310
2950,9.399,8.779,13.19,5940
2951,9.489,8.920,7.71,5940
2952,9.111,8.114,4.67,4660
2953,8.114,7.519,18.55,5940
2954,6.331,6.269,6.38,8600
2955,9.949,9.522,6.15,6900
2956,12.788,11.468,21.01,3700
2957,6.052,5.782,9.64,7300
2958,9.852,9.345,7.50,6200
2959,10.328,9.652,6.59,5370
2960,8.263,8.010,6.84,8180
2961,9.114,7.907,6.15,4390
2962,8.725,8.197,13.88,6200
2963,8.947,8.461,10.52,5370
2964,8.065,7.425,26.75,5560
2965,9.456,8.741,16.40,5560
2966,8.725,8.220,7.90,5750
2967,8.390,6.844,4.21,4050
2968,8.609,8.079,11.75,6250
2969,8.630,8.145,13.34,6650
2970,10.638,10.130,7.05,6650
2971,10.182,9.715,4.38,6900
2972,11.475,10.354,23.13,3990
2973,7.543,7.057,9.48,5900
2974,8.394,8.034,7.94,7460
2975,9.109,8.048,8.60,4500
2976,8.680,8.239,7.44,6800
2977,8.277,7.729,15.85,5750
2978,9.420,8.465,6.05,5150
2979,9.930,9.354,8.68,6200
2980,9.902,9.217,13.27,4930
2981,6.643,6.434,13.71,8610
2982,8.991,8.326,11.73,5900
2983,7.903,7.508,7.84,7460
2984,9.270,8.687,9.10,5750
2985,7.234,6.765,23.94,6650
2986,9.864,9.376,6.98,6650
2987,9.545,8.949,6.63,5700
2988,10.800,9.652,26.32,4410
2989,8.869,7.344,3.19,3690
2990,8.437,7.796,12.81,4930
2991,10.748,9.663,63.90,4660
2992,10.029,9.131,27.21,4830
2993,8.748,8.234,6.05,6900
2994,11.765,11.003,12.35,4930
2995,8.539,7.987,10.89,6500
2996,9.536,8.519,4.26,4800
2997,8.887,8.241,13.63,5700
2998,9.460,9.060,5.19,7030
2999,5.619,4.684,14.94,5050
3000,10.314,9.795,7.76,6200
3001,9.034,8.645,4.96,7000
3002,8.263,8.229,5.03,9980
3003,8.571,8.145,7.50,7000
3004,8.871,8.394,8.89,6650
3005,8.600,8.170,5.11,6370
3006,9.178,8.689,6.38,6900
3007,9.352,8.378,3.36,4800
3008,9.545,8.847,9.22,5560
3009,9.531,9.154,6.86,6250
3010,9.840,9.204,7.84,5370
3011,7.989,7.551,5.59,7030
3012,6.427,6.058,21.61,7300
3013,8.343,7.243,5.00,4660
3014,6.897,6.712,3.41,8180
