B-V,M_V
0.6000,4.3129
1.2300,0.1929
0.5700,3.8929
1.0000,6.1929
0.8400,5.7329
0.7800,8.7629
0.5700,3.1129
0.6300,4.6929
1.0700,7.3329
0.5600,3.8129
0.6100,3.0229
0.9900,6.0029
0.6100,4.5329
0.7600,2.9629
0.8300,3.4129
1.1600,7.2429
0.6400,7.7329
0.9500,2.6929
0.5900,2.9229
0.5700,4.0729
0.5800,4.2529
0.7200,5.9429
1.0700,6.9929
0.6100,4.3229
0.8400,6.0729
0.8800,7.2529
0.3000,2.6729
0.6500,4.7029
0.5800,4.2629
0.5900,4.3429
0.5600,3.1429
0.5700,3.5429
0.6400,6.2629
0.5800,3.5729
0.4700,3.2729
0.9600,6.2429
0.4100,1.6029
0.6000,3.4829
0.9700,6.6629
0.4300,2.7829
0.6100,4.5229
1.1000,7.4429
0.8900,1.9429
0.7700,5.6129
0.6100,1.6829
0.6300,4.4629
0.6500,4.5829
0.7800,5.6929
0.6400,4.9029
0.6100,4.2029
1.0500,7.1029
0.5700,3.5829
0.8600,6.1129
0.2600,8.0129
0.7500,7.8529
0.9600,6.7629
0.5800,3.6829
0.6200,6.5929
1.0700,6.8229
0.9300,0.9929
0.5700,3.0729
0.8400,8.3529
0.4800,3.6529
0.6200,4.5729
0.8000,4.7529
0.9900,6.8029
0.9600,6.6329
0.8700,1.8429
0.7700,3.2129
0.5800,3.2029
0.7500,5.4129
0.8700,6.2429
0.6000,3.4929
0.6000,3.4529
0.7200,5.3429
0.7400,5.4429
0.7000,4.9129
0.5900,3.6329
0.5900,4.5129
0.9700,4.0929
0.7100,4.5629
0.5900,2.9229
0.5900,3.6629
0.8400,5.9729
0.9500,6.5729
0.5800,3.6229
0.5500,7.1029
0.7000,5.1329
1.0500,0.8829
0.7700,4.8229
0.5700,3.8729
0.0400,1.7829
1.0200,6.2429
0.5700,5.7129
0.4600,1.0529
0.1400,1.3529
0.4800,5.1329
0.5800,3.1429
0.6200,4.5829
0.8200,6.1829
0.5900,2.6229
0.6100,3.7129
0.7600,5.0429
0.6600,4.8029
1.0400,7.0829
0.5000,3.1729
0.7000,3.4129
0.5700,3.2029
0.8600,5.3529
0.9400,6.2129
0.6200,4.2029
0.6700,3.0529
0.7500,5.3929
1.0800,0.9129
0.9300,6.1429
0.7400,7.7229
0.5900,3.2329
0.8900,3.3029
0.5000,3.6929
0.7500,4.7829
0.8700,8.2729
0.6100,4.5029
0.5200,4.4029
0.8900,5.8029
0.5800,3.5229
0.7300,5.3029
1.0100,6.1929
0.9400,2.4429
0.6900,5.1429
0.6200,3.4329
0.5900,3.0829
0.7100,6.8029
1.0400,6.2929
0.5900,4.1129
1.1900,7.0229
0.5700,3.0129
0.6200,7.3429
0.6400,7.6329
0.6200,7.4529
0.6500,7.2129
0.7400,5.3129
1.3400,6.7529
0.8200,5.8929
0.7100,7.0429
0.8200,5.8529
0.6000,4.4129
0.5700,3.4729
0.6200,4.0629
0.5800,3.0229
1.0700,6.7929
0.9400,7.6729
0.9800,6.6629
0.8000,3.1429
0.6800,4.9929
0.6200,3.0129
0.2800,2.6129
0.6100,4.5629
0.2100,1.5029
0.8400,6.1329
0.7600,5.5829
0.8800,6.1829
0.7800,5.6529
0.6200,4.2229
0.6400,6.1629
0.5900,3.0829
0.7700,5.5929
0.6100,3.6029
0.6200,4.5829
0.6900,6.8329
0.5400,4.0929
0.5300,3.2429
0.8400,5.3529
0.2900,1.3329
0.9500,5.9029
0.6600,4.9929
0.7800,5.7129
0.6800,7.1029
0.7300,3.1929
0.9600,2.6629
0.5800,4.0029
0.6800,3.0729
0.6600,4.8629
0.5800,4.3829
0.7900,5.6029
0.8300,5.9329
0.8300,5.9229
0.5800,3.6029
0.5800,4.1129
0.6100,4.4129
0.5400,5.5729
0.5900,2.9729
0.6600,4.8329
0.9400,3.2829
0.5200,3.8929
0.6000,3.3929
0.5800,4.2129
0.6500,4.5629
0.9100,5.9329
0.6500,4.1129
0.5700,2.6329
0.6600,5.0229
0.9900,2.5029
1.0000,6.8929
0.8700,6.2129
0.7900,5.7229
0.6800,4.8029
0.5900,4.1929
0.8000,5.8729
0.5300,3.0429
0.5800,4.2329
1.2200,7.2429
1.0000,6.3229
0.5100,6.5729
0.5800,4.1929
0.8400,6.8229
0.5700,3.1829
0.7100,5.3129
0.6200,4.5029
0.8600,7.3629
0.7200,5.3629
0.5600,3.1029
0.6500,6.4529
0.8600,2.1629
0.5800,2.9429
0.9100,6.3529
1.0200,5.9429
0.6100,4.4529
0.5700,2.7929
0.9900,6.7129
0.8800,6.1429
0.6100,4.0029
1.0700,1.2729
0.5500,3.4829
0.7900,6.6429
0.7200,3.1629
0.6600,5.7729
0.8700,3.3629
0.5600,3.7529
0.6000,3.6329
0.8000,6.3629
0.7900,2.1029
0.5500,3.9729
1.2600,7.3929
1.2400,7.3529
0.5600,3.7729
0.6000,6.3529
0.6500,5.3129
0.5700,3.7829
0.5000,3.2529
0.7500,4.7329
0.6600,5.1029
0.6700,7.5329
0.7900,5.5929
0.6500,2.9129
0.6300,4.4729
0.1200,1.5329
0.9200,5.7829
0.7300,5.1929
0.9100,3.3029
1.3000,5.9029
0.6500,4.9029
0.7900,5.7029
0.5900,3.0829
0.8300,7.6829
0.5900,7.8429
0.8700,6.3129
0.9900,7.7929
0.6000,3.0129
0.5500,3.9829
0.8900,1.2729
0.5800,3.7629
0.6300,6.1429
1.0600,7.0929
0.9000,6.2929
1.1000,6.3229
0.6100,7.1729
0.5400,8.2329
0.5600,3.1929
0.5800,3.8829
0.8700,5.2529
1.0700,6.4529
0.5800,3.1129
0.5700,5.7329
1.0300,6.4029
0.8200,6.0729
0.5900,4.3429
0.9000,6.4629
0.7800,4.9329
0.6700,5.0029
0.5700,3.1129
0.8000,5.8129
0.9400,6.6829
0.8800,6.1929
0.8300,7.3429
0.6700,4.3029
0.9400,6.5029
1.3100,6.7029
0.9000,5.9929
0.9300,3.3229
0.7500,5.4629
0.6100,4.6729
0.6000,4.3629
0.6300,4.7929
1.1000,7.0629
0.7800,7.9029
0.5900,4.2029
0.8700,5.9029
0.5800,5.1829
1.0000,6.5029
0.7900,5.6929
0.5900,2.8529
0.8400,6.0329
0.6600,4.7329
0.8500,6.0529
0.8400,5.9729
0.7700,5.5929
0.7200,7.1629
0.5800,3.2129
0.5700,3.2329
0.6500,4.7729
0.7700,5.6629
0.8500,4.9129
0.6300,4.6529
1.0100,6.9429
0.5700,3.7629
0.7100,5.1929
0.5600,3.5829
0.6900,6.4329
0.6000,4.4229
0.5400,3.4029
0.6400,4.9829
0.9500,7.0829
0.6600,6.4829
0.5900,7.6129
0.6100,6.9729
0.5600,8.1429
0.8700,6.1529
0.6400,3.0429
0.7400,5.4429
0.7100,5.2129
0.7300,6.0129
0.9000,6.4029
0.6300,6.5229
0.5700,3.8129
0.6000,5.1729
0.5900,3.6329
0.5800,6.4929
0.5700,4.2629
0.6600,6.7829
1.0200,6.9829
0.7100,3.5129
0.6800,5.1129
0.5400,4.1829
0.5800,4.4529
1.1100,2.5829
1.2700,6.6329
0.5600,5.0529
0.8600,6.0129
0.8000,6.2129
0.6800,4.5429
0.5800,5.7729
