x	y
0.007	-0.205
0.005	-0.279
-0.003	-0.241
-0.007	-0.286
-0.002	-0.237
-0.002	-0.247
-0.009	-0.151
0.064	-0.492
-0.025	-0.359
-0.005	-0.125
0.002	-0.252
0.010	-0.212
-0.001	-0.277
-0.003	-0.272
-0.214	1.010
0.021	-0.353
-0.001	-0.278
0.005	-0.135
-0.004	-0.136
0.012	-0.175
0.075	-0.493
0.003	-0.274
-0.026	-0.479
-0.007	-0.132
0.014	-0.374
-0.000	-0.425
0.090	-0.424
-0.008	-0.185
0.011	-0.183
0.006	-0.220
0.023	-0.379
0.031	-0.364
0.088	-0.459
0.009	-0.291
0.007	-0.365
0.000	-0.260
-0.003	-0.232
0.003	-0.212
0.012	-0.166
0.000	-0.253
0.010	-0.168
0.004	-0.124
0.021	-0.405
0.003	-0.274
-0.046	-0.456
0.001	-0.252
0.012	-0.178
-0.012	-0.306
0.002	-0.235
-0.004	-0.245
-0.001	-0.241
-0.135	1.067
-0.003	-0.218
0.003	-0.230
0.009	-0.223
0.046	-0.388
-0.098	-0.492
-0.071	-0.459
0.005	-0.125
-0.040	-0.360
-0.017	-0.309
-0.001	-0.209
-0.001	-0.239
0.001	-0.273
-0.002	-0.224
0.030	-0.337
0.001	-0.217
0.003	-0.252
-0.005	-0.342
-0.000	-0.256
0.021	-0.317
-0.008	-0.142
-0.003	-0.144
0.003	-0.237
-0.021	1.007
0.012	-0.182
-0.004	-0.181
-0.002	-0.162
-0.002	-0.124
0.003	-0.122
-0.057	1.087
0.022	-0.344
-0.006	-0.140
0.004	-0.230
0.006	-0.223
0.012	-0.309
0.004	-0.239
0.129	-0.478
0.018	-0.315
-0.001	-0.251
0.011	-0.158
-0.005	-0.129
0.001	-0.183
0.075	-0.434
-0.003	-0.129
0.002	-0.125
0.007	-0.296
0.001	-0.232
-0.010	-0.203
-0.011	-0.328
-0.002	-0.297
0.028	-0.342
0.013	-0.308
-0.010	-0.157
-0.001	-0.375
-0.007	-0.146
-0.068	-0.484
0.084	-0.421
0.001	-0.168
0.001	-0.239
0.001	-0.183
0.010	-0.150
-0.034	-0.350
-0.020	-0.324
0.004	-0.362
-0.005	-0.154
0.095	0.947
0.030	-0.335
-0.002	-0.250
-0.002	-0.301
0.018	-0.314
0.004	-0.246
0.001	-0.261
-0.003	-0.157
0.003	-0.200
-0.004	-0.184
-0.011	-0.307
0.010	-0.311
-0.007	-0.284
-0.009	-0.165
-0.009	-0.195
-0.076	-0.395
0.006	-0.157
0.010	-0.187
-0.008	-0.192
0.007	-0.369
0.005	-0.126
0.004	-0.136
0.011	-0.176
0.000	-0.263
0.008	-0.212
0.005	-0.130
-0.011	-0.203
0.010	-0.211
-0.021	-0.335
0.009	-0.145
-0.002	-0.122
-0.003	-0.243
-0.028	-0.342
-0.005	-0.233
-0.203	1.062
0.004	-0.206
0.000	-0.262
-0.006	-0.291
0.003	-0.249
0.010	-0.204
-0.535	0.859
-0.052	-0.385
-0.007	-0.175
-0.009	-0.143
-0.021	-0.332
0.001	-0.267
0.004	-0.248
-0.008	-0.138
0.005	-0.241
0.012	-0.307
-0.008	-0.141
0.002	-0.220
0.216	-0.494
-0.007	-0.223
-0.025	-0.372
0.008	-0.309
0.001	-0.280
-0.007	-0.162
0.117	-0.442
-0.028	-0.330
-0.006	-0.199
0.027	-0.387
0.007	-0.131
0.242	0.996
-0.005	-0.333
-0.021	-0.318
0.005	-0.125
0.035	-0.369
-0.007	-0.341
0.009	-0.223
-0.000	-0.173
0.005	-0.161
-0.003	-0.127
-0.010	-0.196
