x,y
-0.008,-0.197
0.008,-0.143
0.011,-0.174
0.009,-0.186
-0.006,-0.173
-0.003,-0.228
0.221,0.987
-0.010,-0.208
0.213,1.049
-0.056,-0.442
0.000,-0.255
-0.007,-0.141
-0.001,-0.178
0.003,-0.121
-0.042,-0.393
-0.143,-0.454
0.011,-0.167
0.011,-0.190
-0.097,-0.424
-0.006,-0.141
0.041,-0.363
0.004,-0.226
0.011,-0.168
-0.009,-0.155
-0.009,-0.144
-0.148,-0.462
0.010,-0.298
-0.000,-0.196
-0.399,0.848
-0.002,-0.144
0.002,-0.366
-0.010,-0.345
-0.008,-0.216
-0.003,-0.124
0.008,-0.140
0.011,-0.158
-0.013,-0.370
0.004,-0.232
-0.008,-0.136
0.008,-0.135
-0.011,-0.156
-0.001,-0.259
-0.004,-0.239
0.003,-0.248
0.004,-0.123
-0.001,-0.234
0.007,-0.225
0.008,-0.141
-0.053,-0.427
-0.002,-0.246
-0.000,-0.120
-0.002,-0.275
0.548,0.849
0.128,-0.468
0.139,-0.448
-0.009,-0.168
0.004,-0.125
-0.376,0.809
-0.006,-0.333
-0.029,-0.346
0.159,0.970
0.017,-0.336
0.422,0.787
0.008,-0.223
0.008,-0.140
-0.009,-0.170
0.007,-0.176
-0.001,-0.259
-0.010,-0.182
-0.004,-0.244
-0.004,-0.317
0.469,0.843
-0.249,-0.513
0.011,-0.160
-0.012,-0.180
0.005,-0.314
-0.050,-0.372
-0.048,-0.370
-0.002,-0.271
0.011,-0.304
0.217,-0.499
0.126,-0.447
-0.099,-0.429
-0.008,-0.162
-0.011,-0.353
-0.008,-0.173
0.060,-0.381
-0.011,-0.294
-0.114,-0.437
0.017,-0.343
-0.051,-0.431
-0.764,0.547
0.007,-0.201
-0.000,-0.123
-0.098,0.701
0.009,0.667
-0.146,0.760
0.129,0.703
0.118,0.812
0.176,0.914
-0.138,0.780
0.035,0.762
-0.085,0.713
0.025,0.670
0.074,0.810
0.090,0.728
0.052,0.717
-0.088,0.830
0.027,0.679
0.200,0.818
0.352,0.744
-0.092,0.693
-0.172,0.716
0.045,0.673
0.188,0.759
-0.086,0.740
0.096,0.703
-0.000,0.668
0.240,0.745
0.033,0.682
-0.451,0.763
0.344,0.738
-0.044,0.695
0.097,0.695
-0.060,1.006
0.215,0.744
0.196,0.745
0.011,0.716
0.484,0.852
-0.041,0.895
-0.169,0.832
0.253,0.844
0.019,0.671
-0.112,0.712
0.025,0.670
0.164,0.812
0.073,0.729
0.069,0.715
-0.064,0.724
0.007,0.667
0.019,0.671
-0.203,0.735
-0.258,0.756
-0.141,0.724
-0.064,0.679
0.272,0.868
-0.246,0.743
0.065,0.680
0.077,0.689
0.105,0.785
0.056,0.692
-0.005,0.669
0.210,0.815
0.034,0.675
0.034,0.708
-0.078,0.722
0.038,0.671
0.056,0.706
0.041,0.844
0.190,0.724
-0.066,0.709
-0.064,0.749
0.065,0.688
0.021,0.672
0.025,0.833
0.191,0.796
0.152,0.727
0.051,0.682
-0.074,0.686
0.141,0.724
-0.026,0.681
0.160,0.838
-0.296,0.741
-0.015,0.669
0.078,0.730
0.021,0.770
0.038,0.672
-0.045,0.693
0.041,0.686
-0.270,0.738
-0.658,0.658
0.153,0.725
-0.286,0.737
-0.247,0.768
-0.156,0.713
0.074,0.694
-0.108,0.751
-0.154,0.711
0.149,0.743
0.041,0.678
0.092,0.712
-0.273,0.764
0.059,0.705
-0.009,0.666
0.094,0.691
-0.123,0.781
0.433,0.721
0.098,0.746
0.220,0.753
0.029,0.677
-0.026,0.689
-0.013,0.706
-0.030,0.811
0.176,0.780
0.009,0.696
-0.064,0.756
0.065,0.721
-0.164,0.719
-0.171,0.799
-0.068,0.683
-0.029,0.689
0.195,0.729
0.048,0.796
0.002,0.734
0.390,0.806
-0.173,0.774
-0.398,0.803
0.110,0.730
-0.017,0.691
0.122,0.825
0.049,0.678
0.039,1.097
-0.006,0.815
0.252,0.732
0.228,0.794
-0.280,0.735
-0.004,0.668
-0.127,0.703
-0.010,0.700
0.022,0.720
-0.008,0.678
0.066,0.690
-0.039,0.784
-0.029,1.048
0.012,0.706
0.103,0.717
0.203,0.771
-0.117,0.861
0.101,0.741
0.009,0.710
0.158,0.714
-0.187,0.848
0.045,0.689
-0.091,0.770
-0.138,0.708
-0.480,0.718
-0.413,0.725
-0.005,0.781
-0.159,0.850
-0.151,0.818
-0.070,0.693
0.227,0.728
0.040,0.770
-0.081,0.965
-0.485,0.754
0.213,0.850
-0.008,0.692
0.035,0.722
-0.059,0.765
0.013,0.722
0.228,0.784
0.161,0.734
0.087,0.738
-0.062,0.696
0.063,0.683
0.226,0.937
-0.148,0.711
0.221,0.733
-0.026,0.691
-0.102,0.807
-0.176,0.720
0.047,0.674
0.034,0.672
-0.129,0.704
0.019,0.683
0.101,0.707
-0.089,0.706
0.037,0.679
0.165,0.723
-0.131,0.767
-0.134,0.724
0.007,0.865
-0.089,0.759
-0.042,0.807
-0.123,0.760
0.006,0.720
-0.514,0.706
0.077,0.891
-0.093,0.824
-0.047,0.675
-0.085,0.724
-0.030,0.955
0.165,0.801
-0.036,0.693
-0.104,0.697
-0.137,0.729
0.090,0.692
0.131,0.706
0.065,0.690
0.053,0.710
0.072,0.683
-0.119,0.712
0.164,0.715
0.004,0.680
-0.234,0.805
-0.147,0.804
0.077,0.718
0.026,0.745
-0.069,0.719
-0.112,0.740
0.026,0.784
-0.069,0.752
0.115,0.859
0.062,0.681
-0.123,0.897
0.308,0.784
-0.030,0.681
-0.198,0.750
-0.086,0.794
0.036,0.671
0.169,0.724
-0.136,0.712
0.499,0.724
0.037,0.714
0.024,0.669
-0.005,0.727
0.010,0.764
-0.247,0.778
-0.163,0.756
0.088,0.714
-0.014,0.667
-0.100,0.766
0.493,0.807
-0.018,0.709
-0.150,0.719
0.158,0.715
0.358,0.842
-0.093,0.705
0.236,0.746
-0.030,0.818
0.177,0.767
0.247,0.763
-0.130,0.753
-0.035,0.673
0.180,0.719
-0.162,0.851
-0.008,0.730
0.581,0.682
0.005,0.701
0.099,1.018
0.059,0.749
-0.153,0.711
0.098,0.739
-0.026,0.671
0.018,0.668
0.127,0.706
0.076,0.685
0.099,0.694
-0.402,0.728
-0.075,0.711
-0.040,0.674
0.123,0.752
0.375,0.768
-0.124,0.712
0.128,0.725
-0.166,0.735
0.005,0.716
-0.116,0.772
-0.181,0.729
0.030,0.673
0.022,0.673
-0.100,0.732
-0.201,0.725
0.318,0.790
-0.061,0.731
0.242,0.798
0.064,0.710
-0.163,0.714
0.144,0.723
-0.017,0.667
-0.130,0.717
0.052,0.772
0.138,0.737
-0.052,0.762
-0.058,0.758
-0.170,0.719
