BV,M
0.011,-1.160
0.011,-4.314
0.011,1.767
0.011,-0.683
0.011,-3.560
0.011,0.938
0.012,1.334
0.012,0.396
0.013,-2.926
0.013,1.148
0.013,-3.466
0.014,3.574
0.014,2.681
0.014,0.037
0.014,-0.077
0.014,8.544
0.014,0.801
0.015,-0.236
0.015,-4.174
0.015,-0.776
0.015,-0.584
0.015,-4.651
0.016,1.246
0.016,0.195
0.016,0.646
0.016,1.036
0.017,2.202
0.017,1.677
0.017,2.474
0.017,-3.284
0.017,9.452
0.017,1.550
0.017,0.502
0.018,1.410
0.018,2.020
0.018,-5.272
0.018,1.862
0.019,-4.411
0.019,-4.532
0.020,0.290
0.020,0.912
0.021,2.302
0.022,-1.219
0.022,-0.428
0.022,1.761
0.022,0.103
0.022,1.102
0.022,-0.871
0.023,-0.118
0.023,1.197
0.023,1.315
0.024,0.434
0.024,-0.972
0.024,2.110
0.025,0.808
0.025,0.571
0.025,-0.686
0.025,-0.535
0.025,0.698
0.025,-1.427
0.025,-6.089
0.025,1.955
0.026,-0.258
0.026,1.456
0.026,1.657
0.027,-1.644
0.027,1.006
0.028,3.411
0.028,-2.524
0.028,2.236
0.028,-3.215
0.028,2.391
0.029,0.251
0.029,1.852
0.029,-4.084
0.029,-1.350
0.029,1.541
0.030,-5.849
0.030,-5.729
0.030,-0.168
0.031,0.343
0.031,-0.385
0.031,-0.760
0.031,-4.743
0.031,0.895
0.031,0.057
0.032,1.242
0.032,1.735
0.033,0.479
0.033,1.151
0.033,2.047
0.033,12.824
0.034,-2.806
0.034,11.443
0.034,0.645
0.035,-0.900
0.035,1.333
0.035,-3.376
0.035,2.807
0.035,3.217
0.035,0.800
0.036,-4.341
0.036,-0.272
0.036,-0.050
0.036,1.643
0.036,12.214
0.037,1.454
0.037,1.042
0.037,-5.013
0.037,0.209
0.037,-1.560
0.038,-0.448
0.038,1.844
0.039,0.406
0.039,0.300
0.039,2.264
0.040,0.724
0.040,-0.196
0.040,-3.493
0.041,1.996
0.041,-0.756
0.041,0.067
0.041,-1.397
0.042,0.875
0.042,1.713
0.042,2.402
0.042,1.379
