x,y,I
-0.3,2.55,0.008
-0.2,2.55,0.008
-0.1,2.55,0.008
0,2.55,0.008
0.1,2.55,0.008
0.2,2.55,0.008
0.3,2.55,0.008
0.4,2.55,0.008
0.5,2.55,0.007
0.6,2.55,0.007
0.7,2.55,0.006
0.8,2.55,0.006
0.9,2.55,0.005
1.,2.55,0.005
1.1,2.55,0.005
1.2,2.55,0.004
1.3,2.55,0.004
1.4,2.55,0.004
1.5,2.55,0.004
1.6,2.55,0.004
1.7,2.55,0.005
1.8,2.55,0.005
1.9,2.55,0.004
2.,2.55,0.004
2.1,2.55,0.004
2.2,2.55,0.003
2.3,2.55,0.002
2.4,2.55,0.001
2.5,2.55,0.
2.6,2.55,0.
2.7,2.55,0.
2.8,2.55,0.
2.9,2.55,0.
3.,2.55,0.001
3.1,2.55,0.002
3.2,2.55,0.002
3.3,2.55,0.002
3.4,2.55,0.002
3.5,2.55,0.002
3.6,2.55,0.001
3.7,2.55,0.
3.8,2.55,0.
3.9,2.55,0.
4.,2.55,0.

-4.,2.48,0.
-3.9,2.48,0.
-3.8,2.48,0.
-3.7,2.48,0.001
-3.6,2.48,0.002
-3.5,2.48,0.002
-3.4,2.48,0.002
-3.3,2.48,0.002
-3.2,2.48,0.002
-3.1,2.48,0.001
-3.,2.48,0.
-2.9,2.48,0.
-2.8,2.48,0.
-2.7,2.48,0.
-2.6,2.48,0.
-2.5,2.48,0.001
-2.4,2.48,0.002
-2.3,2.48,0.003
-2.2,2.48,0.004
-2.1,2.48,0.004
-2.,2.48,0.005
-1.9,2.48,0.005
-1.8,2.48,0.005
-1.7,2.48,0.005
-1.6,2.48,0.004
-1.5,2.48,0.004
-1.4,2.48,0.004
-1.3,2.48,0.004
-1.2,2.48,0.004
-1.1,2.48,0.004
-1.,2.48,0.005
-0.9,2.48,0.005
-0.8,2.48,0.006
-0.7,2.48,0.006
-0.6,2.48,0.006
-0.5,2.48,0.007
-0.4,2.48,0.007
-0.3,2.48,0.007
-0.2,2.48,0.007
-0.1,2.48,0.007
0,2.48,0.007
0.1,2.48,0.007
0.2,2.48,0.007
0.3,2.48,0.007
0.4,2.48,0.007
0.5,2.48,0.007
0.6,2.48,0.006
0.7,2.48,0.006
0.8,2.48,0.006
0.9,2.48,0.005
1.,2.48,0.005
1.1,2.48,0.004
1.2,2.48,0.004
1.3,2.48,0.004
1.4,2.48,0.004
1.5,2.48,0.004
1.6,2.48,0.004
1.7,2.48,0.005
1.8,2.48,0.005
1.9,2.48,0.005
2.,2.48,0.005
2.1,2.48,0.004
2.2,2.48,0.004
2.3,2.48,0.003
2.4,2.48,0.002
2.5,2.48,0.001
2.6,2.48,0.
2.7,2.48,0.
2.8,2.48,0.
2.9,2.48,0.
3.,2.48,0.
3.1,2.48,0.001
3.2,2.48,0.002
3.3,2.48,0.002
3.4,2.48,0.002
3.5,2.48,0.002
3.6,2.48,0.002
3.7,2.48,0.001
3.8,2.48,0.
3.9,2.48,0.
4.,2.48,0.

-4.,2.4,0.
-3.9,2.4,0.
-3.8,2.4,0.
-3.7,2.4,0.001
-3.6,2.4,0.002
-3.5,2.4,0.002
-3.4,2.4,0.002
-3.3,2.4,0.002
-3.2,2.4,0.002
-3.1,2.4,0.001
-3.,2.4,0.
-2.9,2.4,0.
-2.8,2.4,0.
-2.7,2.4,0.
-2.6,2.4,0.
-2.5,2.4,0.002
-2.4,2.4,0.003
-2.3,2.4,0.004
-2.2,2.4,0.004
-2.1,2.4,0.005
-2.,2.4,0.005
-1.9,2.4,0.005
-1.8,2.4,0.005
