BV	M
0.009	0.160
0.009	-0.175
0.010	1.769
0.010	-1.173
0.010	-5.575
0.010	0.687
0.010	1.663
0.010	-4.898
0.011	-2.198
0.011	-4.596
0.011	-3.334
0.012	1.890
0.012	-1.593
0.012	0.426
0.012	1.549
0.013	-1.412
0.013	-2.877
0.013	3.421
0.013	-3.541
0.013	-5.736
0.013	1.340
0.013	0.892
0.013	-0.864
0.013	-4.806
0.014	8.815
0.014	0.525
0.014	2.004
0.015	1.176
0.015	0.611
0.015	2.501
0.015	-3.793
0.015	-0.612
0.015	-4.486
0.016	0.974
0.016	-6.107
0.016	0.304
0.016	-1.757
0.017	-4.269
0.017	-0.344
0.017	0.064
0.017	-0.748
0.017	0.217
0.017	0.790
0.017	1.063
0.018	-2.998
0.019	-0.462
0.019	-0.200
0.019	-5.994
0.019	2.782
0.019	1.718
0.019	2.277
0.019	2.381
0.020	1.813
0.020	1.450
0.020	-4.559
0.021	9.546
0.021	0.389
0.021	-0.934
0.021	-4.941
0.021	0.706
0.021	1.580
0.022	-1.490
0.022	1.366
0.022	-3.190
0.023	0.565
0.023	0.887
0.023	1.241
0.024	-4.758
0.024	1.936
0.024	-0.828
0.025	0.983
0.025	1.147
0.025	-0.639
0.025	-4.060
0.026	-0.096
0.026	0.248
0.026	-5.237
0.026	0.485
0.026	1.658
0.027	-0.258
0.027	0.796
0.027	0.049
0.027	-0.405
0.027	1.513
0.027	2.110
0.028	-3.666
0.028	-2.676
0.028	2.468
0.029	-0.546
0.029	1.833
0.029	0.649
0.029	1.057
0.030	1.737
0.031	-4.684
0.031	2.259
0.031	-4.351
0.032	1.283
0.032	0.125
0.032	-0.333
0.032	1.383
0.033	0.361
0.033	-1.209
0.033	0.902
0.033	-1.083
0.033	-3.409
0.034	1.184
0.034	0.543
0.034	1.581
0.034	1.909
0.034	-0.893
0.035	2.377
0.036	0.449
0.036	-1.332
0.036	2.038
0.036	0.730
0.036	-3.971
0.036	1.464
0.036	0.254
0.036	-5.886
0.036	1.664
0.036	-5.230
0.038	-0.031
0.038	1.787
0.039	1.027
0.039	-0.610
0.039	0.062
0.040	2.884
0.040	-3.709
0.040	0.832
0.041	-2.827
0.041	0.621
0.041	1.270
0.041	-0.284
0.042	2.531
0.043	3.372
0.043	-1.065
0.043	-0.128
0.043	0.345
0.043	1.942
0.043	1.537
0.044	0.186
0.044	-1.886
0.045	1.156
0.045	0.478
0.045	-5.032
0.046	1.631
0.046	3.033
0.046	1.737
0.046	-0.454
0.046	2.060
0.047	-1.663
0.047	-0.005
0.047	2.194
0.047	2.380
0.047	0.722
0.047	0.981
0.048	-5.697
0.048	1.837
0.048	1.458
0.048	-0.578
0.049	1.333
0.049	13.669
0.049	1.066
0.049	-4.604
0.050	0.257
0.050	-5.170
0.050	0.863
0.050	0.080
0.050	12.511
0.050	-0.746
0.050	-4.908
0.050	11.489
0.051	0.581
0.051	6.839
0.051	-2.863
0.051	-0.192
0.051	-1.427
0.052	0.408
0.052	12.207
0.052	-0.302
0.053	1.937
0.053	-3.553
0.053	-5.489
0.053	1.260
0.054	8.957
0.054	-4.157
0.054	1.674
0.054	1.136
0.054	-4.766
0.055	2.637
0.055	0.770
0.055	1.397
0.056	1.575
0.056	1.775
0.056	0.934
0.056	-5.608
0.057	2.401
0.057	-6.318
0.057	-4.668
0.057	-0.405
0.057	-3.385
0.057	0.339
0.058	-1.167
0.058	0.648
0.058	0.188
0.058	3.333
0.059	0.464
0.059	-0.065
0.059	2.053
0.059	-3.798
0.060	2.182
0.060	2.549
0.060	-0.665
0.060	-4.446
0.061	2.287
0.061	-0.157
0.061	1.042
0.061	1.488
0.062	0.054
0.062	1.892
0.062	-3.046
0.062	0.571
0.062	0.840
0.063	-0.572
0.063	1.257
0.063	-4.337
0.063	1.701
0.063	1.172
0.063	3.438
0.064	-0.262
0.064	0.256
0.065	-4.032
0.065	1.339
0.065	0.697
0.065	0.395
0.066	0.956
0.066	-1.820
0.066	2.628
0.066	1.997
0.067	1.786
0.067	-3.441
0.067	3.117
0.068	-3.335
0.068	0.143
0.068	-0.763
0.068	-3.121
0.068	-0.444
0.069	-0.078
0.069	1.083
0.069	1.427
0.070	-5.560
0.070	1.572
0.071	0.626
0.071	0.512
0.071	0.885
0.071	2.068
0.071	-5.279
0.072	2.309
0.072	1.246
0.072	-0.320
0.073	2.981
0.073	1.927
0.074	0.041
0.074	1.675
0.074	2.419
0.074	0.431
0.075	-1.765
0.075	1.155
0.075	0.732
0.075	0.310
0.076	1.006
0.076	1.803
0.076	1.363
0.076	-3.239
0.077	3.492
0.077	1.478
0.078	0.156
0.078	0.818
0.078	-0.403
0.078	2.167
0.078	-0.633
0.078	-0.808
0.079	-0.033
0.079	0.559
0.079	-4.453
0.079	-0.183
0.079	2.662
0.080	-2.998
0.080	12.364
0.080	-3.739
0.080	1.580
0.081	1.270
0.081	2.036
0.082	2.494
0.082	2.368
0.083	0.647
0.083	1.945
0.083	0.371
0.084	0.945
0.084	2.249
0.084	0.072
0.084	1.670
0.084	1.081
0.084	1.414
0.085	0.496
0.086	1.175
0.086	-5.510
0.086	-0.589
0.087	-3.554
0.087	-0.742
0.087	1.514
0.087	9.970
0.087	0.221
0.087	1.807
0.087	0.862
0.087	-4.005
0.087	2.102
0.088	0.738
0.088	-0.420
0.088	2.763
0.089	-4.226
0.089	1.337
0.089	13.104
0.089	-0.081
0.090	-3.067
0.090	-1.738
0.091	2.010
0.092	1.256
0.093	1.898
0.093	2.202
0.093	1.722
0.093	1.001
0.093	2.441
0.094	0.801
0.094	1.445
0.095	0.407
0.095	0.505
0.095	-0.250
0.095	0.031
0.096	0.902
0.096	1.604
0.096	-1.415
0.096	2.696
0.097	-0.456
0.097	1.133
0.097	0.639
0.097	2.330
0.097	-0.618
0.098	-0.169
0.098	-0.972
0.098	-3.732
0.098	1.821
0.099	1.524
0.099	0.234
0.100	1.306
0.100	2.149
0.100	-0.707
0.100	0.733
0.101	1.979
0.101	-2.423
0.101	12.804
0.102	3.271
0.102	1.222
0.102	-5.749
0.103	-2.023
0.103	2.067
0.103	2.602
0.103	1.047
0.104	2.237
0.104	0.141
0.104	2.417
0.104	-0.351
0.104	-2.819
0.104	1.396
0.105	1.660
0.105	0.456
0.105	0.033
0.105	2.898
0.105	0.938
0.105	-0.229
0.106	-5.426
0.106	-3.169
0.106	-1.181
0.106	1.763
0.106	0.839
0.107	-0.457
0.107	0.641
0.107	-3.481
0.107	13.106
0.107	0.325
0.108	1.495
0.108	2.677
0.108	-4.451
0.108	-0.787
0.109	1.937
0.109	-0.619
0.109	1.298
0.109	-0.105
0.109	1.161
0.109	2.350
0.110	-3.076
0.110	0.751
0.110	-3.947
0.110	3.084
0.110	2.150
0.111	-4.345
0.111	-2.244
0.111	1.582
0.112	-1.680
0.113	-2.971
0.113	2.463
0.113	2.053
0.113	4.355
0.113	2.242
0.113	3.195
0.113	1.421
0.114	1.048
0.114	-4.110
0.114	-0.974
0.114	-5.670
0.114	0.097
0.114	0.194
0.114	-4.991
0.115	1.660
0.115	1.812
0.115	2.548
0.115	-0.197
0.117	0.936
0.117	0.807
0.118	-2.495
0.119	1.957
0.119	1.294
0.119	1.512
0.119	0.627
0.119	2.392
0.119	-5.429
0.120	2.128
0.120	1.189
0.121	-0.129
0.121	2.635
0.122	-4.047
0.122	1.377
0.122	0.448
0.122	1.013
0.122	1.106
0.123	2.890
0.123	-2.391
0.123	-0.252
0.123	0.126
0.123	-4.574
0.123	1.737
0.124	2.217
0.124	1.625
0.124	2.047
0.124	0.351
0.124	-0.459
0.124	1.871
0.124	-3.443
0.125	0.722
0.126	-3.968
0.126	2.466
0.126	2.801
0.126	0.917
0.127	-5.112
0.127	-3.650
0.128	1.242
0.128	1.521
0.128	0.213
0.128	2.295
0.129	2.575
0.129	1.968
0.129	-2.716
0.130	-0.088
0.131	1.428
0.131	0.041
0.131	0.483
0.131	1.339
0.132	2.724
0.132	1.074
0.132	1.809
0.132	3.977
0.132	0.847
0.133	-0.840
0.133	2.161
0.133	1.665
0.134	2.382
0.134	-4.095
0.134	-0.708
0.134	0.686
0.134	12.492
0.134	-2.867
0.135	-5.582
0.135	0.958
0.135	0.294
0.135	1.187
0.136	2.039
0.136	-3.847
0.136	0.560
0.137	-4.278
0.137	0.138
0.138	10.110
0.138	-3.512
0.138	2.840
0.139	1.906
0.139	-0.176
0.139	0.377
0.140	1.480
0.140	1.753
0.141	1.573
0.141	-0.331
0.141	2.274
0.141	-2.725
0.141	2.431
0.141	2.632
0.142	1.321
0.142	-5.671
0.142	0.790
0.142	-3.011
0.142	1.050
0.142	2.134
0.142	3.250
0.143	0.917
0.143	0.455
0.143	1.657
0.144	1.981
0.144	0.216
0.144	-3.300
0.144	-2.260
0.144	-3.985
0.144	-5.430
0.144	-4.423
0.144	1.221
0.145	2.715
0.145	1.838
0.145	2.959
0.146	-3.786
0.146	0.560
0.146	0.109
0.146	-2.851
0.147	0.321
0.147	2.563
0.148	2.204
0.148	1.433
0.149	0.659
0.149	-0.456
0.150	1.108
0.150	2.053
0.151	2.353
0.151	1.717
0.151	2.787
0.152	-4.299
0.152	1.554
0.152	1.284
0.152	-4.703
0.153	0.767
0.153	5.530
0.153	0.954
0.153	-4.906
0.153	2.649
0.154	-2.633
0.154	1.884
0.154	2.872
0.154	0.466
0.154	1.192
0.154	-5.377
0.155	-2.436
0.155	-3.679
0.155	2.270
0.156	3.370
0.156	2.465
0.157	2.120
0.157	-3.058
0.157	1.628
0.157	-3.360
0.157	1.384
0.157	2.569
0.158	0.553
0.158	-1.735
0.158	-5.168
0.159	3.165
0.159	1.044
0.159	0.304
0.159	1.809
0.159	2.020
0.160	0.688
0.161	1.491
0.161	11.249
0.161	-5.042
0.161	0.804
0.161	-2.699
0.162	1.284
0.162	1.719
0.163	2.402
0.163	-3.978
0.164	2.213
0.164	1.898
0.164	0.099
0.165	1.576
0.165	0.952
0.165	1.179
0.165	2.611
0.166	2.098
0.166	2.997
0.166	-0.390
0.167	-1.875
0.167	-4.271
0.168	0.606
0.168	-3.721
0.168	2.704
0.168	1.796
0.169	2.905
0.169	2.001
0.169	2.505
0.169	-4.394
0.169	1.371
0.169	12.139
0.169	2.308
0.170	-5.308
0.170	0.242
0.170	-4.954
0.171	0.716
0.172	0.453
0.172	3.153
0.172	1.088
0.172	1.275
0.172	-2.751
0.173	12.037
0.173	-0.453
0.173	0.349
0.173	1.462
0.173	1.655
0.174	-2.292
0.174	-0.095
0.175	1.900
0.175	-0.541
0.175	0.105
0.175	0.810
0.175	-4.181
0.176	2.611
0.176	-3.652
0.176	2.226
0.176	1.744
0.176	2.387
0.177	-2.645
0.177	2.083
0.178	-2.188
0.178	0.927
0.178	2.472
0.179	1.537
0.179	-3.553
0.179	-0.190
0.179	2.905
0.179	1.186
0.180	0.651
0.180	1.401
0.180	0.196
0.180	-2.365
0.180	3.232
0.180	2.301
