B-V,M_V
0.4840,5.0630
0.4790,5.0660
0.4740,5.0720
0.4610,5.0760
0.4750,5.0780
0.4920,5.0780
0.4870,5.0870
0.4900,5.0880
0.4730,5.0900
0.4630,5.0920
0.4500,5.0940
0.4780,5.0960
0.4830,5.0960
0.5020,5.1010
0.4950,5.1080
0.4750,5.1130
0.5120,5.1280
0.4980,5.1320
0.4810,5.1340
0.7010,5.1340
0.4790,5.1360
0.4780,5.1380
0.5140,5.1390
0.4930,5.1430
0.4960,5.1460
0.4940,5.1470
0.4920,5.1480
0.4990,5.1570
0.4550,5.1570
0.5090,5.1580
0.4790,5.1590
0.4820,5.1620
0.5120,5.1620
0.4610,5.1640
0.4980,5.1650
0.5210,5.1650
0.5400,5.1660
0.4950,5.1690
0.4820,5.1690
0.4840,5.1700
0.4870,5.1700
0.4990,5.1710
0.4990,5.1730
0.5000,5.1750
0.5040,5.1770
0.5130,5.1780
0.5140,5.1800
0.5030,5.1820
0.4980,5.1820
0.6310,5.1850
1.3020,5.1860
0.4680,5.1870
0.5250,5.1910
0.4980,5.1910
0.4860,5.1930
0.4990,5.1990
0.5080,5.2000
0.5040,5.2030
0.5040,5.2030
0.5110,5.2070
0.4980,5.2090
0.4860,5.2110
0.4830,5.2150
0.5040,5.2160
0.5040,5.2190
0.4380,5.2210
0.9500,5.2220
0.4950,5.2230
0.5290,5.2240
0.5050,5.2240
0.8570,5.2260
0.4980,5.2280
0.5240,5.2290
0.4870,5.2300
0.4840,5.2310
0.5080,5.2350
0.5550,5.2370
0.4850,5.2380
0.5250,5.2410
0.5280,5.2460
0.5350,5.2490
0.5170,5.2510
0.5160,5.2510
0.4790,5.2510
0.4990,5.2530
0.5280,5.2580
0.5210,5.2690
0.5240,5.2700
0.5010,5.2730
0.5010,5.2800
0.5250,5.2850
0.5240,5.2850
0.5330,5.2850
0.5030,5.2860
0.5250,5.2860
0.5140,5.2910
0.5300,5.2940
0.5190,5.2980
0.5010,5.3020
0.4150,5.3090
0.5370,5.3140
0.5140,5.3200
0.5310,5.3240
0.5190,5.3250
0.5090,5.3260
0.5270,5.3290
1.0210,5.3300
0.5180,5.3330
0.5390,5.3340
1.5790,5.3350
0.4990,5.3460
0.5160,5.3470
0.4780,5.3490
0.5160,5.3510
0.5250,5.3510
0.5140,5.3520
0.4580,5.3550
0.5350,5.3550
0.5260,5.3550
0.4960,5.3660
0.5220,5.3700
0.4720,5.3760
0.5210,5.3760
-0.0980,5.3790
0.5460,5.3860
0.7450,5.3870
0.4990,5.3890
0.5130,5.3890
0.5180,5.3890
0.5360,5.3900
0.5280,5.3930
0.5130,5.3990
0.5260,5.4000
0.5090,5.4020
0.5500,5.4040
0.5070,5.4150
0.5380,5.4180
0.5300,5.4190
0.5100,5.4200
0.4920,5.4220
0.4870,5.4230
0.5140,5.4290
0.4870,5.4300
0.5520,5.4340
0.5100,5.4340
0.5550,5.4380
0.5250,5.4390
0.5020,5.4400
0.5530,5.4440
0.5460,5.4460
0.5370,5.4460
0.5140,5.4470
0.5140,5.4470
0.5070,5.4490
0.5190,5.4500
1.6560,5.4540
0.5120,5.4560
0.5140,5.4610
0.5900,5.4650
0.5710,5.4720
0.5130,5.4730
0.5420,5.4730
0.5450,5.4740
0.4960,5.4750
0.4870,5.4760
0.5520,5.4760
0.5310,5.4770
0.5640,5.4800
0.5480,5.4800
1.4230,5.4830
0.5250,5.4840
0.5220,5.4850
0.5170,5.4860
0.5070,5.4880
0.5300,5.4890
0.5240,5.4900
0.5380,5.4910
0.5360,5.4930
0.5160,5.4960
0.5310,5.4960
0.5390,5.4990
0.5470,5.5050
0.4890,5.5050
0.5250,5.5060
0.5530,5.5060
0.6340,5.5060
0.6080,5.5070
0.5360,5.5100
0.5520,5.5130
0.4990,5.5160
0.5240,5.5160
0.5570,5.5220
0.5790,5.5270
0.5440,5.5270
0.5640,5.5290
0.5530,5.5310
0.5240,5.5330
0.5390,5.5340
0.5370,5.5370
0.5040,5.5380
0.5590,5.5420
0.5370,5.5440
0.5280,5.5440
0.5310,5.5520
0.4910,5.5590
0.5420,5.5600
0.5760,5.5600
0.7000,5.5730
0.5130,5.5730
0.5690,5.5740
0.5420,5.5800
0.6000,5.5840
0.5330,5.5840
0.5420,5.5850
0.5570,5.5870
0.5960,5.5870
0.5260,5.5900
0.5070,5.5910
0.5440,5.5940
1.4990,5.5970
0.5160,5.5980
0.5380,5.5980
0.5590,5.6000
0.5470,5.6000
0.5570,5.6000
0.5790,5.6000
0.5700,5.6020
1.4720,5.6030
0.5500,5.6050
0.5560,5.6090
0.5630,5.6110
0.5680,5.6130
0.5550,5.6140
0.5790,5.6150
0.5630,5.6160
0.5160,5.6160
0.5560,5.6160
0.5420,5.6180
0.5950,5.6210
0.5760,5.6210
0.5240,5.6220
0.5570,5.6250
0.5520,5.6260
0.5520,5.6290
0.5500,5.6320
0.5510,5.6370
1.4770,5.6380
0.7020,5.6430
0.5950,5.6460
0.5600,5.6470
0.5520,5.6510
0.5390,5.6520
0.5530,5.6520
0.5550,5.6560
0.5040,5.6580
0.5420,5.6600
0.5370,5.6630
0.5380,5.6630
1.5410,5.6660
0.5630,5.6680
0.5480,5.6720
0.5600,5.6730
0.5500,5.6750
1.3440,5.6750
0.6050,5.6760
0.5350,5.6760
1.5330,5.6760
0.5780,5.6800
0.7070,5.6810
0.5910,5.6820
0.5940,5.6830
0.5340,5.6830
0.6720,5.6840
0.5700,5.6850
0.5630,5.6860
0.5600,5.6860
0.5550,5.6860
0.5350,5.6870
0.5790,5.6900
0.5330,5.6910
0.5680,5.6920
0.5560,5.6920
0.5710,5.6930
0.5390,5.6940
0.5640,5.6950
0.5700,5.6950
0.5420,5.6960
0.5660,5.7000
0.5740,5.7010
0.6040,5.7110
0.5680,5.7120
0.5940,5.7120
0.6390,5.7150
0.5520,5.7200
0.5730,5.7240
0.5950,5.7250
1.5470,5.7270
0.5510,5.7280
0.6030,5.7290
0.6460,5.7290
0.5430,5.7310
0.5960,5.7310
0.5530,5.7320
0.5480,5.7340
0.5760,5.7340
0.5450,5.7380
0.5620,5.7390
0.5420,5.7430
0.5700,5.7450
0.5740,5.7460
0.5680,5.7470
0.5430,5.7500
0.5590,5.7500
0.8310,5.7520
0.6060,5.7530
0.6050,5.7560
0.6080,5.7560
0.5880,5.7570
0.5680,5.7580
0.5890,5.7590
0.5720,5.7610
0.5470,5.7640
0.5570,5.7650
0.5890,5.7660
0.6070,5.7680
0.5940,5.7720
0.5570,5.7730
0.5830,5.7740
0.9220,5.7740
1.3280,5.7760
0.6130,5.7770
0.5800,5.7780
0.5420,5.7790
0.5830,5.7790
0.6350,5.7810
0.5790,5.7830
0.5650,5.7890
0.6000,5.7890
0.5960,5.7910
0.5620,5.7920
0.5780,5.7920
0.5260,5.7920
0.5940,5.7950
0.5990,5.7960
0.7260,5.7980
0.5990,5.7980
0.5640,5.8000
0.6260,5.8020
0.5860,5.8030
0.5590,5.8090
0.5650,5.8120
0.5980,5.8130
0.5800,5.8230
0.4890,5.8230
0.6030,5.8250
0.6000,5.8250
0.3780,5.8250
0.5830,5.8270
0.5710,5.8270
0.5800,5.8280
0.6240,5.8300
0.6630,5.8320
0.5800,5.8380
0.5770,5.8380
0.5700,5.8380
0.6110,5.8390
0.5590,5.8400
0.5970,5.8440
0.5910,5.8470
1.5000,5.8490
0.6120,5.8530
0.7380,5.8530
0.6230,5.8570
0.5560,5.8580
0.6160,5.8620
0.6020,5.8630
0.5970,5.8630
0.6320,5.8640
0.5830,5.8640
0.6090,5.8650
0.7170,5.8690
0.5850,5.8700
0.5710,5.8710
0.5860,5.8730
0.5910,5.8750
0.6520,5.8760
0.5990,5.8760
0.6130,5.8760
0.6730,5.8760
0.5720,5.8770
0.5870,5.8770
0.6030,5.8840
0.5990,5.8870
0.5990,5.8910
0.6230,5.8910
0.6170,5.8920
0.6240,5.8920
0.6120,5.8930
1.5330,5.8950
0.5910,5.8960
0.5970,5.8970
0.5550,5.8970
0.5880,5.8990
1.6200,5.9030
0.5890,5.9050
0.5870,5.9050
0.6110,5.9080
0.6160,5.9080
0.5780,5.9100
0.5790,5.9100
0.5940,5.9100
0.6400,5.9130
0.5680,5.9130
0.5970,5.9130
0.6270,5.9170
0.5940,5.9170
0.6080,5.9180
0.6130,5.9190
1.5150,5.9200
0.5780,5.9220
0.6370,5.9230
0.6150,5.9230
0.6160,5.9230
0.6120,5.9250
0.7100,5.9250
0.5790,5.9260
0.6340,5.9280
0.6220,5.9290
0.6000,5.9290
1.1820,5.9310
0.5960,5.9310
0.6300,5.9310
0.6070,5.9320
0.6480,5.9350
0.6250,5.9360
0.6940,5.9360
0.6920,5.9360
0.5900,5.9370
0.6070,5.9370
0.5910,5.9400
0.6260,5.9410
0.6000,5.9460
0.5590,5.9480
0.6580,5.9510
0.6050,5.9510
0.7450,5.9530
0.6130,5.9530
0.5960,5.9550
0.5890,5.9560
0.5810,5.9580
0.6090,5.9600
0.6340,5.9620
0.6320,5.9620
0.6300,5.9630
0.6250,5.9630
0.5800,5.9640
0.6740,5.9650
0.6470,5.9660
0.5860,5.9670
0.5870,5.9670
0.5700,5.9680
0.6300,5.9700
0.6230,5.9710
0.6220,5.9760
0.6350,5.9760
0.6020,5.9810
0.6410,5.9810
0.6510,5.9850
0.9700,5.9850
0.6550,5.9900
0.5940,5.9920
0.6120,5.9950
0.6020,5.9960
0.6030,5.9960
0.6210,5.9990
0.6600,5.9990
0.6420,6.0020
0.6180,6.0050
0.6670,6.0050
0.6380,6.0050
0.6380,6.0080
0.5880,6.0090
0.6490,6.0110
0.6150,6.0120
0.5870,6.0140
0.6310,6.0170
0.6470,6.0200
0.6330,6.0210
0.5740,6.0220
0.5920,6.0240
1.6040,6.0240
0.5620,6.0270
1.4400,6.0290
0.6250,6.0340
0.6480,6.0360
0.6860,6.0380
0.6560,6.0420
0.6160,6.0450
0.6060,6.0460
1.3520,6.0470
0.6570,6.0490
0.6130,6.0490
0.6740,6.0500
0.6490,6.0540
0.6160,6.0560
0.6130,6.0590
0.6530,6.0600
0.6700,6.0600
0.5800,6.0610
0.6250,6.0620
0.6020,6.0630
0.6570,6.0630
0.6370,6.0650
0.6510,6.0670
0.6160,6.0680
0.6510,6.0700
0.6740,6.0730
0.6410,6.0750
0.6230,6.0770
0.6060,6.0780
0.5980,6.0790
0.6270,6.0800
1.5510,6.0840
0.5470,6.0840
0.6090,6.0890
0.5250,6.0900
1.5270,6.0900
0.6410,6.0900
0.6340,6.0910
0.6720,6.0920
0.6630,6.0950
0.6420,6.0950
0.6060,6.0980
0.6080,6.1000
0.5980,6.1040
0.6490,6.1050
0.6130,6.1050
0.7030,6.1060
0.6490,6.1070
0.6030,6.1080
0.6170,6.1090
0.6750,6.1100
1.4340,6.1100
0.5330,6.1140
0.6110,6.1160
0.4570,6.1170
0.6380,6.1190
0.6820,6.1210
0.6290,6.1210
0.6530,6.1230
0.6680,6.1230
0.6400,6.1230
0.8430,6.1260
0.6930,6.1260
0.6700,6.1290
0.6140,6.1300
1.6560,6.1310
0.6490,6.1310
0.6860,6.1350
0.7420,6.1360
0.6550,6.1370
0.6180,6.1390
0.6170,6.1390
0.5870,6.1400
0.7110,6.1400
0.6560,6.1420
0.6600,6.1450
0.6170,6.1470
0.6580,6.1480
0.6390,6.1490
0.6350,6.1500
0.6440,6.1520
0.7200,6.1550
0.6570,6.1580
0.6370,6.1580
0.6250,6.1590
0.6170,6.1610
0.6130,6.1610
0.6490,6.1680
0.6740,6.1690
0.6260,6.1700
0.7250,6.1710
0.6230,6.1760
0.5460,6.1780
0.6480,6.1780
0.6030,6.1780
0.6980,6.1820
0.6890,6.1830
0.6550,6.1830
0.6430,6.1850
0.5550,6.1850
0.8300,6.1860
0.6430,6.1860
0.7260,6.1890
0.6210,6.1910
0.6960,6.1930
0.6330,6.1930
0.7900,6.1930
0.7150,6.1950
0.6580,6.1960
0.6750,6.1960
0.6720,6.1960
0.6440,6.1990
1.6320,6.2000
0.7380,6.2010
0.6560,6.2030
0.8380,6.2030
0.6460,6.2040
0.7310,6.2060
0.6740,6.2080
0.7480,6.2120
0.6270,6.2130
0.6860,6.2130
0.6590,6.2150
0.6830,6.2170
0.6080,6.2170
0.6740,6.2170
0.6720,6.2170
1.4810,6.2180
0.6830,6.2230
0.7150,6.2240
0.6340,6.2250
0.7820,6.2260
0.6040,6.2270
0.6630,6.2280
0.6630,6.2280
0.6660,6.2280
0.6480,6.2290
0.6750,6.2290
1.6820,6.2300
0.6040,6.2300
0.7040,6.2310
0.6580,6.2320
0.6830,6.2360
0.6570,6.2370
0.5760,6.2400
0.6600,6.2410
0.6980,6.2470
1.3350,6.2510
0.6330,6.2530
0.6860,6.2540
0.6430,6.2580
0.6980,6.2640
0.6980,6.2650
0.6660,6.2650
0.7000,6.2670
0.7560,6.2670
0.6220,6.2670
0.6740,6.2700
0.6960,6.2710
0.6090,6.2710
0.6600,6.2710
0.6630,6.2720
0.7710,6.2720
0.6980,6.2760
0.6840,6.2780
0.6160,6.2820
0.6740,6.2830
0.6980,6.2830
0.6650,6.2840
0.3100,6.2850
0.6750,6.2860
0.6850,6.2880
0.6610,6.2880
0.6770,6.2880
0.6790,6.2880
0.6930,6.2960
0.6640,6.2980
0.7020,6.3020
0.6250,6.3020
0.6980,6.3030
0.7220,6.3030
0.6660,6.3050
1.5100,6.3060
0.6460,6.3120
0.7210,6.3120
0.7130,6.3150
0.6700,6.3150
0.7510,6.3160
0.6770,6.3200
0.6850,6.3210
0.6490,6.3220
0.7090,6.3230
0.7300,6.3230
0.7650,6.3230
0.8730,6.3250
1.5010,6.3320
0.7030,6.3340
0.7610,6.3360
0.5980,6.3370
0.6510,6.3370
1.3040,6.3380
0.7050,6.3410
1.1810,6.3420
0.7110,6.3430
0.6720,6.3470
0.6420,6.3480
0.7470,6.3490
0.7000,6.3500
0.6900,6.3520
0.6940,6.3540
0.6900,6.3560
0.6740,6.3590
