x	y	I
2.27	2.9	0.00048353687614657447
2.4	2.9	0.0005751721654145858
2.53	2.9	0.0009336222193462127
2.67	2.9	0.0014501280824709617
2.8	2.9	0.0019493873980011283
2.93	2.9	0.002247442006279639
3.07	2.9	0.002219845608312008
3.2	2.9	0.0018530721571111274
3.33	2.9	0.0012559851845019765
3.47	2.9	0.000622980137356224
3.6	2.9	0.00016067380333037202
3.73	2.9	6.932019570151273e-6
3.87	2.9	0.0001763472125814746
4.	2.9	0.0005564596716677174

-4.	2.8	0.0003221158524960889
-3.87	2.8	0.00003694920212118181
-3.73	2.8	0.000055918774769178686
-3.6	2.8	0.00042436682532141334
-3.47	2.8	0.0010429147939818328
-3.33	2.8	0.0017053694794240564
-3.2	2.8	0.0021816899576091392
-3.07	2.8	0.0023098361716884512
-2.93	2.8	0.0020580504900231753
-2.8	2.8	0.0015335989936535502
-2.67	2.8	0.0009376616704627874
-2.53	2.8	0.0004879334387599172
-2.4	2.8	0.000341446954959283
-2.27	2.8	0.0005467202759281913
-2.13	2.8	0.001039670327630471
-2.	2.8	0.0016792645898788916
-1.87	2.8	0.002304591059808357
-1.73	2.8	0.0027899512557303715
-1.6	2.8	0.003079179735812924
-1.47	2.8	0.003191151109867421
-1.33	2.8	0.0032000569096959884
-1.2	2.8	0.0032019609638968653
-1.07	2.8	0.003281235098346726
-0.933	2.8	0.003487329994390824
-0.8	2.8	0.003826388327828342
-0.667	2.8	0.0042663262265455375
-0.533	2.8	0.004750265883510813
-0.4	2.8	0.005212297473823516
-0.267	2.8	0.005590939212533503
-0.133	2.8	0.00583813198582144
0	2.8	0.005923902458736358
0.133	2.8	0.00583813198582144
0.267	2.8	0.005590939212533503
0.4	2.8	0.005212297473823516
0.533	2.8	0.004750265883510813
0.667	2.8	0.0042663262265455375
0.8	2.8	0.003826388327828342
0.933	2.8	0.003487329994390824
1.07	2.8	0.003281235098346726
1.2	2.8	0.0032019609638968653
1.33	2.8	0.0032000569096959884
1.47	2.8	0.003191151109867421
1.6	2.8	0.003079179735812924
1.73	2.8	0.0027899512557303715
1.87	2.8	0.002304591059808357
2.	2.8	0.0016792645898788916
2.13	2.8	0.001039670327630471
2.27	2.8	0.0005467202759281913
