l,n,x
1.97,1.4952,1.9969
1.975,1.4951,1.9972
1.98,1.495,1.9975
1.985,1.4949,1.9978
1.99,1.4949,1.9981
1.995,1.4948,1.9984
2.,1.4947,1.9987
2.005,1.4946,1.999
2.01,1.4946,1.9993
2.015,1.4945,1.9996
2.02,1.4944,1.9999
2.025,1.4943,2.0003
2.03,1.4943,2.0006
2.035,1.4942,2.0009
2.04,1.4941,2.0012
2.045,1.494,2.0015
2.05,1.4939,2.0018
2.055,1.4939,2.0021
2.06,1.4938,2.0024
2.065,1.4937,2.0028
2.07,1.4936,2.0031
2.075,1.4936,2.0034
2.08,1.4935,2.0037
2.085,1.4934,2.004
2.09,1.4933,2.0044
2.095,1.4932,2.0047
2.1,1.4932,2.005
2.105,1.4931,2.0053
2.11,1.493,2.0056
2.115,1.4929,2.006
2.12,1.4929,2.0063
2.125,1.4928,2.0066
2.13,1.4927,2.007
2.135,1.4926,2.0073
2.14,1.4925,2.0076
2.145,1.4925,2.0079
2.15,1.4924,2.0083
2.155,1.4923,2.0086
2.16,1.4922,2.0089
2.165,1.4921,2.0093
2.17,1.492,2.0096
2.175,1.492,2.0099
2.18,1.4919,2.0103
2.185,1.4918,2.0106
2.19,1.4917,2.011
2.195,1.4916,2.0113
2.2,1.4916,2.0116
2.205,1.4915,2.012
2.21,1.4914,2.0123
2.215,1.4913,2.0127
2.22,1.4912,2.013
2.225,1.4911,2.0133
2.23,1.4911,2.0137
2.235,1.491,2.014
2.24,1.4909,2.0144
2.245,1.4908,2.0147
2.25,1.4907,2.0151
2.255,1.4906,2.0154
2.26,1.4905,2.0158
2.265,1.4905,2.0161
2.27,1.4904,2.0165
2.275,1.4903,2.0168
2.28,1.4902,2.0172
2.285,1.4901,2.0176
2.29,1.49,2.0179
2.295,1.4899,2.0183
2.3,1.4899,2.0186
2.305,1.4898,2.019
2.31,1.4897,2.0194
2.315,1.4896,2.0197
2.32,1.4895,2.0201
2.325,1.4894,2.0204
2.33,1.4893,2.0208
2.335,1.4893,2.0212
2.34,1.4892,2.0215
2.345,1.4891,2.0219
2.35,1.489,2.0223
2.355,1.4889,2.0226
2.36,1.4888,2.023
2.365,1.4887,2.0234
2.37,1.4886,2.0238
2.375,1.4885,2.0241
2.38,1.4885,2.0245
2.385,1.4884,2.0249
2.39,1.4883,2.0253
2.395,1.4882,2.0256
2.4,1.4881,2.026
2.405,1.488,2.0264
2.41,1.4879,2.0268
2.415,1.4878,2.0272
2.42,1.4877,2.0276
2.425,1.4876,2.0279
2.43,1.4875,2.0283
2.435,1.4874,2.0287
2.44,1.4874,2.0291
2.445,1.4873,2.0295
2.45,1.4872,2.0299
2.455,1.4871,2.0303
2.46,1.487,2.0307
2.465,1.4869,2.0311
2.47,1.4868,2.0314
2.475,1.4867,2.0318
2.48,1.4866,2.0322
2.485,1.4865,2.0326
2.49,1.4864,2.033
2.495,1.4863,2.0334
2.5,1.4862,2.0338
