BV	M
0.059000000000000004	0.9037000000000001
0.40900000000000003	3.6656
0.5770000000000001	4.2506
0.66	-3.1233
-0.015000000000000001	-1.2321
0.681	5.5144
0.467	1.6782000000000001
0.434	2.1474
0.46	4.291300000000001
0.682	4.8064
0.613	3.5217
0.521	4.7812
0.21100000000000002	1.7368000000000001
-0.16	-2.031
0.544	3.2496
0.24100000000000002	2.6873
0.8200000000000001	-0.9378000000000001
1.08	3.6093
0.401	3.3973
0.533	5.027
0.48200000000000004	4.0234000000000005
0.5640000000000001	4.6337
0.43	3.0586
0.272	1.834
0.126	1.0834000000000001
0.152	1.913
1.074	3.1076
0.27	1.885
0.7030000000000001	4.8269
0.769	5.862900000000001
0.369	3.1858
0.438	3.3973
0.48200000000000004	2.7372
1.063	2.8115
0.675	6.0193
0.769	5.310300000000001
1.0070000000000001	4.9
0.48100000000000004	4.4859
0.648	4.559200000000001
0.20900000000000002	1.7357
0.9530000000000001	1.3486
0.23500000000000001	2.7006
0.779	6.336
0.15	1.7096
0.634	4.686100000000001
0.434	4.3265
0.622	4.769
0.068	1.7342000000000002
1.069	2.3879
0.646	4.0882000000000005
0.554	3.9257
0.542	3.6801000000000004
0.012	1.7915
0.168	2.6439
0.14100000000000001	0.7294
0.465	2.9145000000000003
0.1	1.8757000000000001
1.052	7.7838
-0.08600000000000001	-0.17500000000000002
0.002	0.9876
0.629	4.8564
0.6990000000000001	4.038600000000001
0.49400000000000005	13.131300000000001
0.9880000000000001	2.5672
1.0490000000000002	3.2706
0.8490000000000001	2.8276000000000003
0.47700000000000004	2.3322000000000003
0.596	4.5866
0.382	3.3191
0.682	5.8395
0.431	3.7153
0.505	3.7962000000000002
0.917	1.8575000000000002
0.14500000000000002	2.1138
0.441	3.349
0.	-4.8199000000000005
0.875	6.8879
0.64	-1.6215000000000002
0.925	1.3513000000000002
0.47900000000000004	3.6034
0.648	5.7763
0.609	5.578
0.517	4.505
1.1720000000000002	2.8320000000000003
0.662	5.9149
0.13	2.1645000000000003
0.658	5.0040000000000004
0.151	0.7804
0.453	4.6423000000000005
0.619	5.4021
-0.039	-0.6392
0.7260000000000001	5.5524000000000004
0.385	2.9314
1.114	3.6553
0.402	1.7536
1.413	1.8836000000000002
0.498	3.
0.28500000000000003	1.2202
0.066	0.3672
0.393	3.1692
1.0330000000000001	2.0531
0.873	3.8116000000000003
