_RAJ2000;_DEJ2000;Vmag;B-V
250.3765503;+36.4748783;18.722; 0.424
250.3514758;+36.5380886;18.724; 0.435
250.2312178;+36.4567872;18.726; 0.668
250.3763244;+36.4411131;18.728; 0.485
250.3424661;+36.5133606;18.732;-0.235
250.3506264;+36.4919500;18.735; 0.429
250.3502844;+36.5223233;18.738; 0.370
250.2569783;+36.5433978;18.741; 0.437
250.3637367;+36.5448153;18.753; 0.415
250.3779436;+36.5266239;18.754; 0.425
250.3651678;+36.5436658;18.762; 0.421
250.3135478;+36.5204767;18.763; 0.447
250.3072408;+36.5285847;18.769; 0.441
250.3668361;+36.5404806;18.775; 0.441
250.3364289;+36.4958231;18.775; 0.433
250.2100422;+36.4308108;18.776; 0.460
250.3789372;+36.5035117;18.780; 0.405
250.3519294;+36.5437283;18.786; 0.433
250.3796289;+36.5420261;18.788; 0.411
250.3076789;+36.4617961;18.788; 0.440
250.2927028;+36.5352683;18.797; 0.439
250.3683572;+36.5215114;18.797; 0.453
250.1975389;+36.5301639;18.798; 1.199
250.2508856;+36.4794008;18.800; 0.435
250.3524181;+36.4552131;18.802; 0.450
250.3540278;+36.4936042;18.810; 0.429
250.2226297;+36.5238542;18.821; 0.456
250.3059672;+36.5272508;18.826; 0.439
250.3613914;+36.4229342;18.831; 0.451
250.3460964;+36.5278628;18.836; 0.441
250.3604247;+36.4948983;18.839; 0.444
250.2352000;+36.4684689;18.841; 0.429
250.3490933;+36.5425342;18.845; 0.426
250.3354947;+36.5143228;18.850; 0.446
250.2770517;+36.4117972;18.854; 0.433
250.3149442;+36.5090192;18.855; 0.440
250.2103306;+36.4929442;18.860; 0.457
250.3560875;+36.4817556;18.865; 0.447
250.2049542;+36.5073908;18.866; 0.939
250.2789133;+36.5213664;18.871; 0.435
250.3199228;+36.5330875;18.872; 0.435
250.3756172;+36.5205106;18.875; 0.420
250.3779403;+36.5290042;18.876; 0.413
250.3310706;+36.4353186;18.880; 0.461
250.2783208;+36.5466736;18.881; 0.420
250.3028533;+36.5119125;18.882; 0.453
250.2628208;+36.5158917;18.884; 0.452
250.3326819;+36.5152269;18.886; 0.843
250.3441856;+36.5312314;18.893; 0.511
250.3612392;+36.5143853;18.893; 0.439
250.3550789;+36.5329942;18.899; 0.429
250.2139614;+36.5018922;18.902; 0.442
250.3655700;+36.4871294;18.903; 0.443
250.3144842;+36.5216472;18.905; 0.435
250.3578869;+36.5021458;18.908; 0.412
250.3505447;+36.4807592;18.911; 0.453
250.3363028;+36.5440425;18.913; 0.432
250.3669511;+36.5399317;18.916; 0.450
250.2142456;+36.5434556;18.918; 0.457
250.1826889;+36.3992017;18.919; 0.869
250.3285533;+36.4937853;18.921; 0.443
250.2150683;+36.5428322;18.921; 0.459
250.3129292;+36.5202542;18.923; 0.434
250.2984028;+36.5444097;18.931; 0.443
250.2732603;+36.4715911;18.932; 0.417
250.3575514;+36.5322814;18.936; 0.473
250.3418094;+36.4676367;18.939; 0.449
250.2794497;+36.5456056;18.941; 0.413
250.2500014;+36.5257394;18.943; 0.459
250.3511061;+36.5385389;18.956; 0.441
250.3041425;+36.5271158;18.957; 0.446
250.3543067;+36.5379983;18.960; 0.452
250.3598231;+36.5355081;18.962; 0.435
250.3765231;+36.5285269;18.966; 0.451
250.3244258;+36.5276147;18.967; 0.448
250.2233319;+36.4753531;18.968; 0.450
250.2286017;+36.4301769;18.969; 0.450
250.1865461;+36.5354542;18.986; 0.463
250.3664356;+36.5315342;18.987; 0.446
250.3192108;+36.4976478;18.990; 0.448
250.3486281;+36.5338917;18.991; 0.446
250.3033428;+36.5287444;18.992; 0.453
250.3504694;+36.4452694;18.996; 0.446
250.3002581;+36.4759719;19.002; 0.438
250.3066525;+36.5187492;19.004; 0.444
250.3222192;+36.5299797;19.005; 0.427
250.3039536;+36.4906167;19.009; 0.446
250.2143239;+36.5022672;19.013; 0.447
250.3258569;+36.5002289;19.014; 0.449
250.3144583;+36.5106531;19.018; 0.452
250.2865403;+36.5212131;19.020; 0.430
250.2865764;+36.5402239;19.026; 0.433
250.3492164;+36.5438144;19.027; 0.429
250.2561758;+36.5277692;19.028; 0.453
250.3048239;+36.5435592;19.033; 0.438
250.3785133;+36.4992050;19.035; 0.422
250.3128456;+36.4835492;19.036; 0.814
250.3687333;+36.5209094;19.039; 0.439
250.3261036;+36.5248836;19.047; 0.452
250.1937361;+36.5227153;19.047; 0.456
250.3118283;+36.3997567;19.049; 1.572
250.3756439;+36.4833581;19.054; 0.444
250.3183694;+36.5335444;19.059; 0.427
250.3496531;+36.5270728;19.061; 0.459
250.3518083;+36.4805236;19.061; 0.442
250.3741053;+36.5392408;19.061; 0.233
250.3314506;+36.5168436;19.062; 0.448
250.3467844;+36.5280381;19.069; 0.456
250.2269464;+36.5203500;19.069; 0.467
250.3306650;+36.4280783;19.074; 0.464
250.3605278;+36.5055794;19.075; 0.447
250.3455103;+36.5346153;19.080; 0.449
250.3213081;+36.5436239;19.083; 0.449
250.2948086;+36.4324381;19.084; 0.441
250.3668347;+36.5272489;19.094; 0.486
250.3206889;+36.5169922;19.094; 0.441
250.3774514;+36.5391894;19.098; 0.448
250.3673422;+36.5343367;19.101; 0.498
250.2095717;+36.5323689;19.101; 0.466
250.3302772;+36.4476375;19.102; 1.616
250.3789833;+36.5367881;19.111; 0.441
250.3109703;+36.5207769;19.113; 0.466
250.3541367;+36.5059192;19.115; 0.453
250.3315944;+36.5365086;19.119; 0.451
250.3442381;+36.5089675;19.126; 0.455
250.3691050;+36.4255575;19.132; 0.496
250.3683675;+36.4608322;19.135; 0.458
250.1907014;+36.5385786;19.135; 0.472
250.2028033;+36.4091847;19.139; 0.863
250.3002225;+36.5336156;19.143; 0.458
250.3064069;+36.5367406;19.146; 0.455
250.2405994;+36.4276811;19.148; 0.453
250.2011272;+36.5360950;19.149; 0.483
250.3284872;+36.5299419;19.154; 0.502
250.3537119;+36.5205958;19.155; 0.447
250.2875847;+36.4868014;19.156; 0.450
250.2825075;+36.5128539;19.156; 0.463
250.2224375;+36.5202958;19.164; 0.469
250.3671861;+36.5133553;19.165; 0.484
250.2895533;+36.4935722;19.166; 0.442
250.3672400;+36.5219178;19.167; 0.432
250.3099411;+36.5044069;19.175; 0.476
250.3559231;+36.5246894;19.177; 0.476
250.3724319;+36.5332372;19.178; 0.456
250.3381928;+36.4593064;19.178; 0.446
250.2601769;+36.4839342;19.185; 0.464
250.2875758;+36.4144767;19.186; 0.517
250.3644772;+36.5118786;19.186; 0.465
250.3530092;+36.5357756;19.191; 0.474
250.3690044;+36.5407797;19.193; 0.524
250.3191439;+36.4550025;19.195; 0.464
250.3668150;+36.4928408;19.196; 0.458
250.2872750;+36.5216036;19.207; 0.460
250.3385869;+36.5283272;19.209; 0.456
250.3754217;+36.5055589;19.212; 0.455
250.3643775;+36.5124961;19.231; 0.478
250.3727114;+36.4864953;19.233; 0.460
250.3570275;+36.5240361;19.233; 0.477
250.3034961;+36.5127550;19.235; 0.466
250.3291294;+36.4082108;19.236; 0.484
250.1858550;+36.4469439;19.237; 1.472
250.3280939;+36.5345903;19.240; 0.489
250.2664350;+36.5264567;19.240; 0.455
250.3061567;+36.4415931;19.247; 0.450
250.2978381;+36.4348928;19.249; 0.479
250.3703103;+36.5055994;19.256; 0.484
250.3634431;+36.5171914;19.259; 0.464
250.3522692;+36.4777600;19.260; 0.455
250.3648200;+36.5069775;19.265; 0.474
250.3028553;+36.5262089;19.268; 0.472
250.3547231;+36.4829958;19.272; 0.481
250.3738833;+36.5357656;19.273; 0.442
250.2865106;+36.5113764;19.276; 0.492
250.3565014;+36.5189003;19.277; 0.475
250.3162225;+36.5422378;19.279; 0.459
250.2210153;+36.4174575;19.282; 0.589
250.3335850;+36.5383972;19.283; 0.476
250.2184989;+36.4574419;19.283; 1.393
250.3601772;+36.5205172;19.283; 0.449
250.3435369;+36.5096831;19.284; 0.457
250.3668753;+36.5436564;19.286; 0.468
250.3723819;+36.4795081;19.289; 0.458
250.3725597;+36.4678542;19.291; 0.432
250.2461661;+36.4791961;19.294; 0.441
250.3043053;+36.5218169;19.301; 0.490
250.2432161;+36.4111514;19.303; 0.458
250.3699464;+36.4755033;19.305; 0.468
250.2542139;+36.5466139;19.310; 0.461
250.3337725;+36.5323494;19.313; 0.498
250.3256539;+36.3946336;19.318; 0.451
250.3675892;+36.4581186;19.318; 0.467
250.3597169;+36.5265331;19.328; 0.438
250.2789400;+36.5075692;19.330; 0.459
250.2961150;+36.4935231;19.330; 0.477
250.3470931;+36.5413136;19.332; 0.464
250.3089575;+36.5349000;19.340; 0.473
250.3708342;+36.5161603;19.342; 0.461
250.3170694;+36.5359278;19.345; 0.476
250.3364289;+36.5262361;19.350; 0.473
250.2188931;+36.4959886;19.350; 0.489
250.2266411;+36.5199047;19.351; 0.482
250.2913239;+36.5035047;19.352; 0.463
250.2350083;+36.5382333;19.354; 0.481
250.3646111;+36.5100664;19.355; 0.467
250.2949294;+36.4953253;19.355; 1.665
250.3419083;+36.5260936;19.362; 0.459
250.2314547;+36.4388772;19.367; 0.476
250.3489178;+36.5217586;19.368; 0.472
250.2259511;+36.5311072;19.369; 0.485
250.3442936;+36.4374708;19.371; 1.165
250.2915364;+36.5302506;19.380; 0.473
250.3526042;+36.4427036;19.380; 0.458
250.3522686;+36.4907300;19.388; 0.474
250.2674692;+36.4684533;19.390; 0.467
250.3672928;+36.4035525;19.390; 0.487
250.3466364;+36.5429558;19.391; 0.481
250.3096881;+36.5125042;19.395; 0.490
250.3708333;+36.4534717;19.399; 0.501
250.3568847;+36.4272528;19.401; 0.476
250.2724689;+36.5177794;19.403; 0.474
250.3567772;+36.5408636;19.408; 0.489
250.3020528;+36.4182147;19.413; 0.473
250.3766103;+36.4166364;19.415; 0.479
250.2895272;+36.4894039;19.416; 0.479
250.3017428;+36.4641378;19.416; 1.415
250.2868961;+36.4076933;19.417; 0.484
250.3212189;+36.4638436;19.428; 0.457
250.3246469;+36.4893428;19.431; 0.489
250.3729572;+36.4910092;19.433; 0.476
250.3538639;+36.4493078;19.434; 0.490
250.3132628;+36.5347553;19.437; 0.481
250.3213733;+36.5313792;19.437; 0.493
250.2425969;+36.4480131;19.438; 1.433
250.2368914;+36.4685872;19.442; 0.381
250.2692333;+36.5309339;19.444; 0.494
250.2669161;+36.5254197;19.445; 0.469
250.3687161;+36.4457039;19.447; 1.180
250.3716008;+36.4890972;19.454; 0.477
250.2822817;+36.5232886;19.458; 0.477
250.3050808;+36.5318800;19.459; 0.483
250.3435625;+36.4904161;19.461; 0.478
250.2285878;+36.5380842;19.461; 0.503
250.3601667;+36.4697606;19.463; 0.498
250.2796600;+36.4897786;19.468; 0.466
250.3532911;+36.5243275;19.476; 0.482
250.3712806;+36.5224161;19.480; 0.443
250.2799044;+36.5266242;19.483; 0.479
250.3420339;+36.5433389;19.483; 0.498
250.3021689;+36.4977328;19.487; 0.484
250.3750867;+36.4827992;19.490; 0.479
250.3736414;+36.4974172;19.496; 0.474
250.2730786;+36.4340469;19.500; 0.461
250.2659158;+36.5192914;19.502; 0.475
250.3624781;+36.5298353;19.502; 0.492
250.3759983;+36.5319903;19.511; 0.487
250.3147575;+36.5412039;19.512; 0.490
250.3122294;+36.5025181;19.514; 0.473
250.3612147;+36.5326033;19.516; 0.463
250.3795308;+36.5190575;19.518; 0.450
250.2532050;+36.4624261;19.520; 0.478
250.3712394;+36.5194719;19.520; 0.483
250.1956794;+36.4452064;19.525; 0.502
250.3677772;+36.5160725;19.532; 0.495
250.3528536;+36.5401953;19.537; 0.475
250.1959903;+36.5377469;19.552; 0.512
250.3710264;+36.4985847;19.556; 0.498
250.3450286;+36.4692886;19.558; 0.481
250.1933792;+36.5479228;19.558; 0.701
250.3031733;+36.5099017;19.560; 0.479
250.3258853;+36.4624742;19.562; 0.478
250.3208297;+36.5331464;19.563; 0.514
250.3209539;+36.5219792;19.567; 0.493
250.3437464;+36.5060411;19.570; 0.496
250.3283775;+36.5275161;19.571; 0.494
250.2828781;+36.4962031;19.572; 0.492
250.3090858;+36.5041897;19.581; 0.499
250.3282117;+36.5337125;19.581; 0.455
250.2106478;+36.4901214;19.582; 0.509
250.2482489;+36.5102794;19.583; 0.479
250.3795128;+36.5185314;19.586; 0.482
250.2161769;+36.4707347;19.586; 0.512
250.3620856;+36.5324367;19.588; 0.461
250.3262333;+36.5194506;19.589; 0.498
250.3230844;+36.5028653;19.589; 0.521
250.3776700;+36.5381844;19.590; 0.540
250.2607069;+36.4463328;19.593; 0.495
250.2727519;+36.5440719;19.593; 0.482
250.3677544;+36.5260317;19.594; 0.484
250.2747889;+36.4749625;19.594; 0.487
250.3221936;+36.5211256;19.595; 0.499
250.3121978;+36.4808394;19.597; 0.499
250.3277397;+36.4746006;19.599; 0.500
250.3494931;+36.5368350;19.601; 0.504
250.2086356;+36.4451450;19.602; 0.513
250.2129475;+36.4866192;19.604; 0.514
250.2400311;+36.4624544;19.606; 0.503
250.3315961;+36.4691472;19.606; 0.498
250.2079200;+36.4344808;19.609; 0.631
250.3362864;+36.5153556;19.610; 1.302
250.2688997;+36.4575475;19.611; 0.468
250.3696083;+36.4413969;19.615; 0.525
250.3033406;+36.5305853;19.615; 0.498
250.3549589;+36.5380700;19.617; 0.486
250.2506683;+36.5429881;19.623; 0.499
250.3450589;+36.5278300;19.624; 0.508
250.3635722;+36.5208264;19.627; 0.504
250.2268658;+36.5427322;19.627; 0.504
250.3618017;+36.4712764;19.631; 0.511
250.2720456;+36.5204428;19.633; 0.498
250.3209900;+36.5383378;19.635; 0.486
250.2456967;+36.4865758;19.639; 0.483
250.3585522;+36.5305986;19.640; 0.504
250.3161269;+36.5248858;19.643; 0.504
250.2020778;+36.3932706;19.645; 0.438
250.1871156;+36.5371472;19.646; 0.950
250.2746894;+36.4927544;19.647; 0.495
250.2235358;+36.4610944;19.648; 0.529
250.2941011;+36.5282094;19.648; 0.505
250.3010642;+36.4753797;19.650; 0.857
250.3353281;+36.4948556;19.652; 0.498
250.3327267;+36.5281258;19.653; 0.524
250.2828808;+36.4851536;19.654; 0.487
250.2007000;+36.4075231;19.655; 0.484
250.3227375;+36.4518694;19.659; 0.508
250.2162139;+36.5395144;19.661; 0.555
250.2829686;+36.5286794;19.662; 0.485
250.3222944;+36.5249592;19.665; 0.525
250.3656031;+36.5051994;19.670; 0.528
250.2443539;+36.5140489;19.673; 0.535
250.3438014;+36.5210997;19.675; 0.517
250.3475289;+36.5068764;19.675; 0.516
250.2832831;+36.4757358;19.675; 0.479
250.3007081;+36.5292858;19.677; 0.499
250.3310181;+36.4359658;19.682; 0.528
250.2109683;+36.5433936;19.693; 0.521
250.3573856;+36.4232872;19.694; 0.524
250.3708836;+36.5283753;19.697; 0.501
250.3585358;+36.5042925;19.704; 0.501
250.2766744;+36.5261944;19.709; 0.525
250.3218731;+36.5217686;19.709; 0.524
250.2805608;+36.5079225;19.709; 0.533
250.3159022;+36.5130500;19.710; 0.503
250.3026731;+36.5278572;19.710; 0.525
250.3383142;+36.5299350;19.715; 0.514
250.3359069;+36.5121122;19.718; 0.530
250.3130108;+36.5368989;19.722; 0.519
250.3020953;+36.4584892;19.726; 0.501
250.3780858;+36.5436969;19.733; 0.415
250.3466906;+36.5060014;19.738; 0.537
250.2615089;+36.4502739;19.744; 0.514
250.3013553;+36.4345256;19.748; 0.531
250.3493194;+36.5022083;19.749; 0.519
250.2795278;+36.4226450;19.750; 0.509
250.3491156;+36.5122872;19.753; 0.527
250.3588681;+36.5146347;19.754; 1.021
250.3410794;+36.5136514;19.757; 0.518
250.2773319;+36.5167058;19.758; 0.539
250.1929031;+36.4873606;19.759; 1.579
250.2819075;+36.4930950;19.770; 0.499
250.3009911;+36.4980622;19.771; 0.516
250.3770639;+36.4989014;19.773; 0.478
250.2723158;+36.5330450;19.775; 0.516
250.2353300;+36.5284911;19.775; 0.525
250.3120292;+36.5337519;19.776; 0.514
250.3784042;+36.4944986;19.779; 0.458
250.3461911;+36.5287250;19.779; 0.535
250.3267842;+36.4908628;19.779; 0.526
250.3052350;+36.4632183;19.790; 0.496
250.3756906;+36.5164003;19.794; 0.522
250.3667083;+36.5227792;19.800; 0.472
250.3553458;+36.4163789;19.800; 0.521
250.1921342;+36.5405006;19.803;-0.098
250.3575953;+36.4658478;19.810; 0.546
250.3000092;+36.5210047;19.811; 0.745
250.2946981;+36.5455861;19.813; 0.499
250.3504231;+36.5307697;19.813; 0.513
250.3393922;+36.4901308;19.813; 0.518
250.3034150;+36.4427886;19.814; 0.536
250.1912092;+36.4220267;19.817; 0.528
250.3640317;+36.4903239;19.823; 0.513
250.3691625;+36.5441864;19.824; 0.526
250.3494031;+36.5229142;19.826; 0.509
250.1939283;+36.5158142;19.828; 0.550
250.2536894;+36.5169725;19.839; 0.507
250.2563742;+36.4989481;19.842; 0.538
250.1934694;+36.4035181;19.843; 0.530
250.3686939;+36.5055906;19.844; 0.510
250.2801483;+36.5420628;19.846; 0.492
250.3787986;+36.5085956;19.847; 0.487
250.2684528;+36.5313886;19.853; 0.514
250.3752614;+36.5298592;19.854; 0.487
250.2819800;+36.5308264;19.858; 0.552
250.3316589;+36.4965642;19.858; 0.510
250.3396544;+36.5152458;19.862; 0.555
250.3295314;+36.4716778;19.863; 0.525
250.2990431;+36.5216483;19.864; 0.502
250.3324625;+36.4894031;19.868; 0.553
250.2902933;+36.4929506;19.870; 0.546
250.3394028;+36.5087444;19.870; 0.537
250.3227369;+36.5435286;19.871; 0.514
250.2087719;+36.4587936;19.871; 0.514
250.2751931;+36.5348456;19.873; 0.507
250.2551583;+36.4726808;19.874; 0.519
250.3517553;+36.4316467;19.878; 1.656
250.2692694;+36.5118578;19.880; 0.512
250.3728972;+36.4514283;19.885; 0.514
250.3781192;+36.5357031;19.889; 0.590
250.3381014;+36.4938531;19.896; 0.571
250.3731253;+36.5356836;19.897; 0.513
250.3413217;+36.5368317;19.897; 0.542
250.3683539;+36.5115908;19.898; 0.545
250.3749997;+36.5169803;19.899; 0.496
250.1990567;+36.4574436;19.900; 0.487
250.3125642;+36.4343975;19.900; 0.552
250.3329636;+36.5244967;19.901; 0.531
250.3508269;+36.5028228;19.904; 0.564
250.3470889;+36.4388333;19.904; 0.548
250.3729414;+36.5446819;19.907; 1.423
250.3617892;+36.4653978;19.908; 0.525
250.3581531;+36.5262075;19.909; 0.522
250.2995183;+36.4824211;19.910; 0.517
250.3541728;+36.4720328;19.912; 0.507
