_RAJ2000;_DEJ2000;RAJ2000;DEJ2000;Bmag;Vmag;Seq;rad;Pkin;Pph;Psp
 50.0864335460;+26.1387766782;  50.08641866;+026.13879464; 11.924; 10.908;  47; 6.3859; 0.0000; 0.8502;1
 50.0879781325;+23.6898241933;  50.08790227;+023.68995836;       ;  9.892;  47; 6.1935; 0.0000; 0.0000;1
 50.0885424931;+23.6892842433;  50.08845974;+023.68942541;  7.768;  7.526;  47; 6.1930; 0.0000; 1.0000;1
 50.0899901286;+30.1769502540;  50.09000697;+030.17709582; 12.017; 11.233;  47; 8.4076; 0.0000; 0.0000;0
 50.0951812494;+24.5222798582;  50.09514037;+024.52245357; 10.018;  9.477;  47; 6.1451; 0.0000; 1.0000;1
 50.0963853436;+24.5494268812;  50.09637946;+024.54950585; 11.772; 11.344;  47; 6.1445; 0.0000; 0.2724;1
 50.0971933978;+19.8727158371;  50.09718688;+019.87271416;  8.158;  6.898;  47; 7.6283; 0.0000; 0.0000;0
 50.1012324931;+19.0989786857;  50.10122115;+019.09899446; 12.831; 11.570;  47; 8.1055; 0.0000; 0.0000;0
 50.1065652290;+25.6627458529;  50.10652697;+025.66296628;  7.399;  6.131;  47; 6.2580; 0.0000; 0.0000;1
 50.1110982413;+24.9482086737;  50.11103525;+024.94821983; 12.179; 11.732;  47; 6.1526; 0.0000; 0.2684;1
 50.1117272771;+24.5431975399;  50.11176314;+024.54323096;  8.519;  7.296;  47; 6.1304; 0.0000; 0.0000;1
 50.1174927556;+30.1609242242;  50.11708255;+030.16114402;  9.976;  9.252;  47; 8.3805; 0.0000; 0.0000;0
 50.1205000082;+22.4157274181;  50.12050269;+022.41578055;       ; 13.756;  47; 6.4369; 0.0000; 0.0000;0
 50.1211978557;+22.1001210171;  50.12120667;+022.10014209; 11.622; 11.208;  47; 6.5402; 0.0000; 0.0000;0
 50.1213473615;+28.1074718754;  50.12135284;+028.10747574; 12.540; 11.211;  47; 7.1392; 0.0000; 0.0000;0
